"player","exp","num","inches","team","id"
"Matt Bradley","Sr",20,76,"San Diego St.",65655
"CJ White","Sr",5,77,"Little Rock",65657
"Zion Griffin","Sr",0,79,"Tennessee St.",65659
"Connor Crabtree","Sr",5,78,"Richmond",65665
"Moses Wood","Jr",1,80,"Portland",65666
"Jamarius Burton","Sr",11,76,"Pittsburgh",65668
"Dexter Dennis","Sr",0,77,"Texas A&M",65669
"Tavin Lovan","Sr",3,76,"UAB",65670
"Drew Peterson","Sr",13,81,"USC",65674
"Quentin Millora-Brown","Sr",42,82,"Vanderbilt",65676
"Chris Mullins","Sr",24,75,"William & Mary",65677
"Hunter Marks","Sr",0,81,"Sacramento St.",65685
"Xavier Johnson","Sr",0,75,"Indiana",65690
"Jordan Henderson","Sr",3,77,"Canisius",65693
"Isaiah Kelly","Sr",35,79,"Yale",65699
"Chase Audige","Sr",1,76,"Northwestern",65704
"L.J. Owens","Sr",1,75,"Delaware",65705
"Allen Betrand","Sr",15,77,"Rider",65709
"Landers Nolley II","Sr",2,79,"Cincinnati",65714
"Isaiah Wilkins","Sr",1,76,"Longwood",65716
"Robert Braswell IV","Sr",20,79,"Charlotte",65717
"Jalen Carey","Jr",5,75,"Rhode Island",65718
"Marque Maultsby","Jr",11,75,"North Carolina Central",65719
"Rod Brown","Sr",0,79,"Tarleton St.",65723
"Francis Okoro","Sr",5,81,"Saint Louis",65726
"Zach Chappell","Sr",4,75,"Sacramento St.",65730
"Miles Norris","Sr",5,82,"UC Santa Barbara",65731
"Seneca Knight","Sr",3,78,"Illinois St.",65733
"Maizen Fausett","Sr",12,78,"Southern Utah",65736
"Caleb Nero","Sr",0,74,"North Dakota",65738
"Israel Barnes","Sr",0,76,"Southeast Missouri St.",65739
"Dima Zdor","Sr",10,82,"UT Rio Grande Valley",65740
"Erik Stevenson","Sr",10,76,"West Virginia",65743
"Morris Udeze","Sr",24,80,"New Mexico",65744
"Madiaw Niang","Sr",15,82,"Radford",65750
"Logan Johnson","Sr",0,74,"Saint Mary's",65751
"Jairus Hamilton","Sr",3,80,"Western Kentucky",65753
"Caleb Catto","Sr",2,77,"Florida Gulf Coast",65754
"Zach Scott","Sr",15,76,"McNeese St.",65755
"Liam Robbins","Sr",21,84,"Vanderbilt",65759
"Jawaun Newton","Sr",13,75,"Southern Illinois",65760
"Shamar Givance","Sr",5,70,"UTEP",65761
"Logan Dye","Sr",22,81,"Samford",65763
"Coletrane Washington","Sr",0,76,"Drexel",65769
"Ithiel Horton","Sr",12,77,"UCF",65770
"Quan McCluney","Sr",10,77,"Queens",65771
"Camren Wynter","Sr",11,74,"Penn St.",65774
"Kale Catchings","Sr",12,78,"Duke",65776
"Jay Nagle","Sr",1,81,"Idaho St.",65777
"Souleymane Diakite","Sr",21,81,"NJIT",65779
"Kjell de Graaf","Sr",33,82,"NJIT",65781
"Isaiah Burnett","Sr",11,77,"Stonehill",65782
"Ahsan Asadullah","Sr",23,82,"Lipscomb",65785
"Cameron Parker","Sr",1,74,"Portland St.",65786
"Aaron Clarke","Sr",5,73,"Stony Brook",65789
"Cameron Wilbon","Jr",22,77,"Sacramento St.",65790
"Zac Watson","Sr",4,79,"Longwood",65798
"Jeremiah Gambrell","Sr",10,75,"Prairie View A&M",65801
"Callum McRae","Sr",25,85,"Sacramento St.",65802
"Oddyst Walker","Sr",11,74,"Alcorn St.",65806
"Trey Woodbury","Sr",4,76,"Utah Valley",65811
"Austin Smellie","Sr",5,77,"Idaho St.",65813
"Foster Loyer","Sr",0,72,"Davidson",65814
"Brandon Johns Jr.","Sr",30,80,"VCU",65815
"Ethan Wright","Sr",14,75,"Colorado",65822
"Jaelin Llewellyn","Sr",3,74,"Michigan",65824
"Drew Friberg","Sr",12,79,"Belmont",65825
"Max Johns","Sr",41,76,"Duke",65826
"Bryan Penn-Johnson","Jr",23,85,"Cal Poly",65829
"Spencer Johnson","Jr",20,77,"BYU",65835
"Michael Forrest","Sr",11,73,"Florida Atlantic",65836
"Antonio Daye","Sr",5,74,"Coastal Carolina",65838
"Chris Doherty","Sr",33,79,"Northeastern",65839
"Jamal Bey","Sr",5,78,"Washington",65843
"Trey Jemison","Sr",55,83,"UAB",65848
"Wynston Tabbs","Sr",10,74,"East Carolina",65852
"Nathan Mensah","Sr",31,82,"San Diego St.",65856
"Will Richardson","Sr",0,77,"Oregon",65858
"Ed Chang","Jr",24,80,"Idaho St.",65860
"Christian Anigwe","Sr",4,81,"UC Davis",65861
"George Maslennikov","Sr",22,82,"Canisius",65863
"Alonzo Sule","Sr",25,79,"James Madison",65864
"Ja'Shon Henry","Sr",22,78,"Bradley",65865
"Darius McGhee","Sr",2,69,"Liberty",65866
"Rasir Bolton","Sr",45,75,"Gonzaga",65867
"Elijah Parquet","Sr",1,76,"UNLV",65870
"Nikkei Rutty","Sr",21,80,"Prairie View A&M",65872
"Raheem Solomon","Sr",11,75,"Sacred Heart",65873
"Marcus Hammond","Sr",10,76,"Notre Dame",65874
"Tyrel Bladen","Sr",11,82,"Rider",65878
"Jalen Pickett","Sr",22,76,"Penn St.",65879
"Jake Forrester","Sr",10,81,"Saint Louis",65890
"Jerome Hunter","Sr",2,80,"Xavier",65892
"Rob Phinisee","Sr",10,73,"Cincinnati",65893
"Damezi Anderson","Sr",23,79,"Detroit",65895
"Tim Finke","Sr",24,78,"Wright St.",65899
"Deshon Parker","Sr",3,76,"Cleveland St.",65902
"Warren Williams","Sr",0,81,"Hofstra",65903
"Taurus Samuels","Sr",0,73,"Minnesota",65905
"Markquis Nowell","Sr",1,68,"Kansas St.",65907
"Kamani Johnson","Sr",20,79,"Arkansas",65908
"Luis Rodriguez","Sr",15,78,"UNLV",65914
"Amari Kelly","Sr",23,81,"UNC Wilmington",65918
"Carlos Curry","Sr",10,83,"Georgia Southern",65921
"Tyler Harris","Sr",2,69,"South Florida",65923
"Alex Lomax","Sr",2,72,"Memphis",65924
"Jayden Hardaway","Sr",25,77,"Memphis",65926
"Xavier Castaneda","Sr",13,73,"Akron",65929
"Michael Durr","Sr",2,84,"UCF",65930
"Race Thompson","Sr",25,80,"Indiana",65932
"Sir'Jabari Rice","Sr",10,76,"Texas",65933
"Warren Washington","Sr",22,84,"Arizona St.",65936
"Jaiden Delaire","Sr",0,81,"San Diego",65937
"Keenan Fitzmorris","Sr",32,84,"Stony Brook",65938
"Lukas Kisunas","Sr",13,82,"Denver",65940
"Cormac Ryan","Sr",5,77,"Notre Dame",65941
"DaQuan Smith","Jr",1,73,"Radford",65943
"Jarron Coleman","Jr",0,77,"Ball St.",65944
"Caleb Fields","Sr",0,74,"Fairfield",65947
"Trevon Taylor","Sr",2,78,"Cal Poly",65949
"Jordan Phillips","Sr",12,79,"Detroit",65955
"Matt Herasme","Sr",13,76,"New Hampshire",65957
"Samir Stewart","Sr",4,72,"Manhattan",65959
"Daniel Schreier","Sr",11,81,"Manhattan",65960
"Christian Hinckson","Sr",24,78,"Binghamton",65961
"Elijah Buchanan","Sr",30,77,"Manhattan",65962
"Joey Calcaterra","Sr",3,75,"Connecticut",65964
"Jamari Blackmon","Sr",0,72,"Louisiana Monroe",65969
"Nevin Zink","Sr",25,81,"Boston University",65972
"Brandon Martin","Sr",1,77,"Massachusetts",65975
"Bryson Mozone","Sr",15,78,"Georgetown",65976
"DJ Burns","Sr",30,81,"North Carolina St.",65981
"Keyshawn Bryant","Sr",23,78,"South Florida",65983
"Joe Bryant Jr.","Sr",4,73,"Norfolk St.",65991
"Deon Stroud","Sr",5,77,"Eastern Washington",65995
"Ty Brewer","Sr",15,79,"UAB",65997
"Parker Edwards","Sr",30,74,"LSU",65998
"Ethan Igbanugo","Sr",21,74,"Cal St. Northridge",65999
"Aaron Fiegen","Jr",22,79,"South Dakota St.",66000
"Aanen Moody","Sr",11,75,"Montana",66001
"Blake Hinson","Jr",2,79,"Pittsburgh",66010
"KJ Buffen","Sr",5,80,"UAB",66011
"Franco Miller Jr.","Sr",12,75,"Florida Gulf Coast",66012
"Tykei Greene","Sr",4,76,"Kansas St.",66013
"KC Hankton","Sr",1,79,"Chattanooga",66014
"Brendan Adams","Sr",10,76,"George Washington",66015
"Michael Barber","Sr",22,80,"Mississippi Valley St.",66017
"Demarius Jacobs","Sr",1,74,"Ball St.",66023
"Jonathan Tchamwa Tchatchoua","Sr",23,80,"Baylor",66025
"Fred Thatch Jr.","Jr",20,75,"Saint Louis",66026
"Jahbril Price Noel","Sr",55,79,"Wagner",66033
"Ajare Sanni","Sr",3,75,"UC Santa Barbara",66034
"Jimmy Nichols","Sr",55,80,"Coastal Carolina",66038
"DeShaun Wade","Sr",3,74,"Longwood",66039
"Joe Kasperzyk","Sr",25,75,"Niagara",66043
"Dibaji Walker","Sr",35,81,"Appalachian St.",66050
"Jayden Gardner","Sr",1,78,"Virginia",66051
"Gavin Baxter","Sr",0,81,"Utah",66052
"Everette Hammond","Sr",0,75,"UMass Lowell",66054
"Tolu Smith","Sr",1,83,"Mississippi St.",66056
"Brendan Medley-Bacon","Sr",35,84,"North Carolina Central",66058
"Justin Steers","Sr",1,79,"Coppin St.",66059
"TJ Moss","Sr",1,76,"Detroit",66062
"Xavier Pinson","Sr",3,74,"New Mexico St.",66064
"Torrence Watson","Sr",5,77,"Elon",66065
"Parker Braun","Sr",23,82,"Santa Clara",66066
"Kamaka Hepa","Sr",44,82,"Hawaii",66070
"KJ Williams","Sr",12,82,"LSU",66072
"Diante Wood","Jr",1,76,"Tennessee Tech",66073
"Austin Richie","Sr",32,78,"Florida Gulf Coast",66079
"Jalen Hodge","Sr",10,73,"SIU Edwardsville",66081
"Michael Dunne","Sr",23,76,"Hartford",66083
"Kobe Julien","So",4,78,"Louisiana Lafayette",66085
"Jacob Boonyasith","Sr",41,75,"UMBC",66089
"Amanze Ngumezi","Jr",24,81,"Jacksonville St.",66093
"Tye Fagan","Sr",14,75,"Mississippi",66095
"Noah Locke","Sr",10,75,"Providence",66096
"Keyontae Johnson","Sr",11,78,"Kansas St.",66097
"Tyrone Lyons","Sr",35,79,"Southern",66099
"Trace Young","Sr",3,80,"Jackson St.",66100
"Christian Agnew","Sr",21,74,"Southeastern Louisiana",66103
"Gabe Kalscheur","Sr",22,76,"Iowa St.",66107
"Amir Harris","Sr",3,77,"George Washington",66111
"Flo Thamba","Sr",0,82,"Baylor",66112
"Osun Osunniyi","Sr",21,82,"Iowa St.",66114
"P.J. Byrd","Sr",3,73,"Southern",66116
"Amadou Fall","Jr",34,82,"LIU Brooklyn",66118
"Cameron Jones","So",1,78,"South Carolina St.",66119
"Jomaru Brown","Sr",11,74,"Coastal Carolina",66120
"Tre King","Sr",0,79,"Iowa St.",66121
"Maros Zeliznak","Sr",3,83,"Jacksonville St.",66123
"Cameron Tyson","Jr",5,75,"Seattle",66125
"RayQuawndis Mitchell","Sr",21,77,"UMKC",66128
"Jackson Stormo","Sr",55,81,"Siena",66133
"Gus Okafor","Sr",23,78,"Wichita St.",66136
"Ludovic Dufeal","Sr",24,80,"Gardner Webb",66138
"Trevon Faulkner","Sr",22,76,"Northern Kentucky",66144
"Adrian Nelson","Sr",1,80,"Youngstown St.",66145
"Braden Norris","Sr",4,72,"Loyola Chicago",66146
"Nick Honor","Sr",10,70,"Missouri",66148
"Harrison Butler","Sr",15,77,"Southern Utah",66149
"Serrel Smith Jr.","Sr",10,76,"South Florida",66150
"Austin Rotroff","Sr",34,82,"Duquesne",66153
"Jaylin Andrews","Sr",2,76,"Loyola MD",66159
"Kenneth Jones","Sr",25,72,"Loyola MD",66161
"Tray Maddox Jr.","Sr",2,76,"Western Michigan",66166
"Malik Martin","Sr",12,78,"Rhode Island",66168
"Cooper Robb","Sr",5,73,"Eastern Kentucky",66169
"Jaylen Sebree","Sr",2,79,"Tennessee Tech",66171
"Dravon Mangum","Sr",2,80,"Louisiana Tech",66175
"Zep Jasper","Sr",12,73,"Auburn",66178
"Calvin Wishart","Sr",10,74,"UC Santa Barbara",66182
"Elijah McCadden","Sr",0,77,"Memphis",66183
"Nelson Phillips","Sr",11,75,"Troy",66186
"Jared Bynum","Sr",4,70,"Providence",66190
"Jake Wojcik","Sr",4,77,"Fairfield",66191
"Souleymane Koureissi","Sr",5,82,"Radford",66192
"Andre Gustavson","Sr",22,77,"Richmond",66193
"Matt Grace","Sr",15,81,"Richmond",66194
"Tre Wood","Sr",2,73,"LIU Brooklyn",66197
"Joey Baker","Sr",15,79,"Michigan",66202
"Blake Preston","Sr",32,81,"Liberty",66205
"Myles Dread","Sr",2,76,"Penn St.",66208
"Ryan Young","Sr",15,82,"Duke",66209
"Miller Kopp","Sr",12,79,"Indiana",66210
"Luther Muhammad","Sr",1,75,"Arizona St.",66211
"Pete Nance","Sr",32,83,"North Carolina",66212
"Justin Ahrens","Sr",2,78,"Loyola Marymount",66213
"Myreon Jones","Sr",0,75,"Florida",66215
"Jaedon LeDee","Sr",13,81,"San Diego St.",66216
"Kyle Lofton","Sr",11,75,"Florida",66221
"Kenneth Nwuba","Sr",14,82,"UCLA",66222
"Jordan McCabe","Sr",5,72,"UNLV",66225
"Emmitt Matthews Jr.","Sr",1,79,"West Virginia",66226
"Francisco Caffaro","Sr",22,85,"Virginia",66230
"Cameron Copeland","Sr",41,79,"Austin Peay",66233
"Carter Hendricksen","Sr",3,79,"North Florida",66234
"Dorian James","Sr",5,79,"North Florida",66235
"Tre Anderson","Sr",4,73,"Illinois Chicago",66237
"Dane Goodwin","Sr",23,78,"Notre Dame",66245
"Malik Jefferson","Sr",42,81,"Mount St. Mary's",66246
"Dee Barnes","Sr",13,76,"Southern Utah",66247
"Bryce Washington","Sr",2,76,"Hofstra",66251
"Anthony Crump","Sr",50,80,"Northern Illinois",66252
"EJ Harkless","Sr",55,75,"UNLV",66255
"Darius Brown II","Jr",10,74,"Montana St.",66256
"Jeameril Wilson","Sr",25,79,"Loyola Chicago",66263
"Ty Perry","Sr",0,74,"Tennessee Tech",66264
"DeAndre Williams","Sr",12,81,"Memphis",66266
"Nic Lynch","Sr",44,83,"San Diego",66267
"Blake Harris","Jr",0,72,"Furman",66268
"Ladarius Marshall","Sr",32,79,"Alcorn St.",66276
"Kristian Sjolund","Jr",12,80,"Portland",66277
"Kam Gibson","Sr",4,75,"Vermont",66280
"Jake Stephens","Sr",33,84,"Chattanooga",66281
"Ryan Larson","Sr",11,73,"College of Charleston",66283
"Isaiah Bigelow","Sr",24,79,"Richmond",66285
"Messiah Jones","Sr",25,78,"Wofford",66286
"Kris Monroe","Sr",2,80,"North Carolina Central",66287
"Dana Tate Jr.","Sr",21,79,"Norfolk St.",66293
"Jamal Hartwell II","Sr",4,70,"UC Riverside",66294
"Jordan Miller","Sr",11,79,"Miami FL",66295
"Berrick JeanLouis","Sr",0,76,"Iona",66298
"Mekhi Lairy","Sr",2,68,"Miami OH",66300
"Anthony Roberts","Sr",22,76,"Fort Wayne",66302
"DeAndre Gholston","Sr",4,77,"Missouri",66303
"Malik Miller","Sr",11,76,"Morgan St.",66304
"Tajion Jones","Sr",3,77,"UNC Asheville",66305
"Matt Veretto","Sr",24,80,"Vermont",66307
"Brock Cunningham","Sr",30,78,"Texas",66308
"Aleks Novakovich","Sr",15,81,"Delaware",66309
"KJ Simon","Sr",2,75,"Tennessee Martin",66311
"Raymond Bethea Jr","Sr",4,77,"Hampton",66312
"Spencer Rodgers","Sr",22,76,"Kennesaw St.",66313
"Ezekiel Richards","Jr",23,82,"Northern Arizona",66316
"Trey Wertz","Sr",3,77,"Notre Dame",66317
"Keshawn Justice","Sr",14,79,"Santa Clara",66318
"Jake Wolfe","Sr",24,77,"Morehead St.",66327
"Vado Morse","Sr",4,72,"James Madison",66331
"Trajan Wesley","Sr",3,69,"Prairie View A&M",66332
"Uros Plavsic","Sr",33,85,"Tennessee",66333
"Lamar Norman Jr.","Sr",11,73,"Western Michigan",66334
"Dawson Carper","Sr",33,83,"Missouri St.",66341
"Theo Akwuba","Sr",10,83,"Mississippi",66344
"Elijah Weaver","Sr",0,77,"Chicago St.",66345
"Walter Ellis","Sr",55,77,"Grand Canyon",66346
"Andrew Funk","Sr",10,77,"Penn St.",66347
"Fletcher Tynen","Sr",35,79,"Boston University",66349
"Tucker Richardson","Sr",15,77,"Colgate",66351
"Kahliel Spear","Sr",2,79,"Robert Morris",66352
"Marlon Hargis","Sr",13,79,"St. Francis PA",66354
