"","date","type","did_win","game_id","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts"
"1186",2023-02-28,"nond1",TRUE,"Dallas ChristianTarleton St.2-28","Tarleton St.","WAC","Dallas Christian","WAC",200,89.25,47,85,7,27,9,16,17,33,50,25,27,5,14,13,110
"1187",2023-02-28,"conf",FALSE,"Fresno St.New Mexico2-28","Fresno St.","MWC","New Mexico","MWC",200,71.525,31,66,9,17,9,11,9,20,29,17,5,3,9,19,80
"1188",2023-02-28,"conf",TRUE,"Fresno St.New Mexico2-28","New Mexico","MWC","Fresno St.","MWC",200,71.525,32,55,8,15,22,27,5,27,32,18,6,6,9,15,94
"1189",2023-02-28,"conf",FALSE,"Colorado St.San Jose St.2-28","Colorado St.","MWC","San Jose St.","MWC",200,59.25,19,52,5,21,3,8,10,22,32,8,3,0,13,15,46
"1190",2023-02-28,"conf",TRUE,"Colorado St.San Jose St.2-28","San Jose St.","MWC","Colorado St.","MWC",200,59.25,21,54,11,29,10,12,12,26,38,12,9,7,12,11,63
"1191",2023-02-27,"conf_t",FALSE,"Florida Gulf CoastQueens2-27","Florida Gulf Coast","ASun","Queens","ASun",200,70.6,20,53,10,34,5,9,0,29,29,12,7,4,15,20,55
"1192",2023-02-27,"conf_t",TRUE,"Florida Gulf CoastQueens2-27","Queens","ASun","Florida Gulf Coast","ASun",200,70.6,18,59,8,26,17,23,13,30,43,10,5,0,12,12,61
"1193",2023-02-27,"conf_t",TRUE,"BellarmineNorth Florida2-27","Bellarmine","ASun","North Florida","ASun",200,64.65,30,58,5,19,11,15,13,21,34,14,7,2,13,14,76
"1194",2023-02-27,"conf_t",FALSE,"BellarmineNorth Florida2-27","North Florida","ASun","Bellarmine","ASun",200,64.65,27,53,14,30,6,13,8,18,26,13,7,4,13,17,74
"1195",2023-02-27,"conf",TRUE,"North CarolinaFlorida St.2-27","North Carolina","ACC","Florida St.","ACC",200,69.6875,23,53,14,29,17,24,9,31,40,15,5,2,14,17,77
"1196",2023-02-27,"conf",FALSE,"North CarolinaFlorida St.2-27","Florida St.","ACC","North Carolina","ACC",200,69.6875,25,60,3,15,13,21,8,24,32,7,3,2,8,18,66
"1197",2023-02-27,"conf",TRUE,"Grambling St.Bethune Cookman2-27","Grambling St.","SWAC","Bethune Cookman","SWAC",200,60.7,28,52,3,9,7,12,8,27,35,8,5,2,11,15,66
"1198",2023-02-27,"conf",FALSE,"Grambling St.Bethune Cookman2-27","Bethune Cookman","SWAC","Grambling St.","SWAC",200,60.7,23,56,2,15,6,12,10,18,28,10,6,2,9,11,54
