"date","type","location","did_win","team","conf","opp","opp_conf","min","pos","fgm","fga","tpm","tpa","ftm","fta","oreb","dreb","reb","ast","stl","blk","to","pf","pts","second_chance_pts","second_chance_fgm","second_chance_fga","second_change_fg_pct","pts_in_paint","pts_in_paint_fgm","pts_in_paint_fga","pts_in_paint_fg_pct","fast_brk_pts","fast_brk_fgm","fast_brk_fga","fast_brk_fg_pct","bench_pts","pts_tov","biggest_lead_score","biggest_lead","biggest_run_score","biggest_run","lead_changes","time_leading","quad_game","game_id","year"
"2022-03-25","post","N",true,"Saint Peter's","MAAC","Purdue","B10",200,64,21,54,6,21,19,21,8,18,26,9,9,4,8,19,67,8,6,11,0.54545,20,10,26,0.38462,8,8,8,1,24,11,"19 - 23",4,"33-37",10,15,12.833333,"quad1","Saint Peter'sPurdue3-25",2022
"2022-03-25","post","N",false,"Purdue","B10","Saint Peter's","MAAC",200,64,23,54,5,21,13,15,11,26,37,11,2,2,15,18,64,14,11,14,0.78571,36,18,30,0.6,8,3,3,1,23,6,"33 - 27",6,"41-37",8,15,21.483333,"quad3","Saint Peter'sPurdue3-25",2022
"2022-03-25","post","N",true,"North Carolina","ACC","UCLA","P12",200,64,27,66,10,31,9,12,15,28,43,11,2,1,8,9,73,19,9,14,0.64286,28,14,29,0.48276,8,5,5,1,2,6,"66 - 73",7,"64-69",8,14,8.333333,"quad1","North CarolinaUCLA3-25",2022
"2022-03-25","post","N",false,"UCLA","P12","North Carolina","ACC",200,64,28,62,5,14,5,8,8,26,34,11,7,4,6,11,66,6,3,7,0.42857,34,17,31,0.54839,8,5,5,1,7,8,"22 - 14",8,"22-14",8,14,26.816667,"quad1","North CarolinaUCLA3-25",2022
"2022-03-25","post","N",false,"Iowa St.","B12","Miami FL","ACC",200,70,25,68,4,22,2,4,16,26,42,16,6,4,18,18,56,11,6,17,0.35294,32,16,34,0.47059,6,3,3,1,24,8,"7 - 8",1,"7-8",8,2,0.266667,"quad1","Iowa St.Miami FL3-25",2022
"2022-03-25","post","N",true,"Miami FL","ACC","Iowa St.","B12",200,70,26,56,9,26,9,14,7,27,34,21,11,7,14,12,70,10,4,7,0.57143,28,14,21,0.66667,8,4,6,0.66667,0,14,"60 - 46",14,"7-0",7,2,38.633333,"quad1","Iowa St.Miami FL3-25",2022
"2022-03-24","post","N",true,"Arkansas","SEC","Gonzaga","WCC",200,77,29,72,7,25,9,14,10,32,42,13,6,6,8,20,74,9,4,9,0.44444,36,18,36,0.5,14,10,10,1,8,10,"50 - 59",9,"27-28",9,9,21.766667,"quad1","ArkansasGonzaga3-24",2022
"2022-03-24","post","N",false,"Gonzaga","WCC","Arkansas","SEC",200,77,24,64,5,21,15,20,11,34,45,9,5,3,15,17,68,7,3,10,0.3,34,17,34,0.5,17,14,19,0.73684,5,8,"25 - 17",8,"25-17",9,9,17.583333,"quad1","ArkansasGonzaga3-24",2022
"2022-03-24","post","N",false,"Michigan","B10","Villanova","BE",200,61,21,61,6,18,7,14,14,27,41,11,3,6,8,11,55,7,5,14,0.35714,28,14,37,0.37838,9,4,5,0.8,7,6,"1 - 5",4,"20-22",7,5,4.3,"quad1","MichiganVillanova3-24",2022
"2022-03-24","post","N",true,"Villanova","BE","Michigan","B10",200,61,22,59,9,30,10,12,10,28,38,10,5,4,7,12,63,11,5,9,0.55556,26,13,26,0.5,4,4,4,1,8,10,"40 - 31",9,"18-11",6,5,34.45,"quad1","MichiganVillanova3-24",2022
"2022-03-24","post","N",false,"Texas Tech","B12","Duke","ACC",200,66,31,66,6,19,5,9,12,21,33,12,4,3,8,14,73,11,6,14,0.42857,42,21,35,0.6,10,5,5,1,4,13,"2 - 10",8,"24-29",7,13,26.033333,"quad1","Texas TechDuke3-24",2022
"2022-03-24","post","N",true,"Duke","ACC","Texas Tech","B12",200,66,28,54,7,19,15,17,5,24,29,12,4,6,10,12,78,2,1,3,0.33333,36,18,27,0.66667,10,9,10,0.9,2,9,"73 - 68",5,"12-12",8,13,8.533333,"quad1","Texas TechDuke3-24",2022
"2022-03-24","post","N",true,"Houston","Amer","Arizona","P12",200,62,23,50,9,20,17,25,12,25,37,12,5,6,12,19,72,19,10,14,0.71429,26,13,21,0.61905,12,8,11,0.72727,15,24,"47 - 59",12,"4-14",7,0,39.433333,"quad1","HoustonArizona3-24",2022
"2022-03-24","post","N",false,"Arizona","P12","Houston","Amer",200,62,18,54,7,22,17,23,16,19,35,12,7,3,14,21,60,13,7,14,0.5,18,9,24,0.375,9,7,8,0.875,13,6,,0,"15-19",6,0,0,"quad1","HoustonArizona3-24",2022
"2022-03-23","post","N",false,"Middle Tennessee","CUSA","UNC Wilmington","CAA",250,80,25,65,6,28,34,46,18,34,52,9,2,6,10,26,90,13,,,,26,,,,0,,,,20,5,,11,,,9,0,"quad3","Middle TennesseeUNC Wilmington3-23",2022
"2022-03-23","post","N",true,"UNC Wilmington","CAA","Middle Tennessee","CUSA",250,80,26,64,8,24,36,43,8,28,36,11,6,2,5,30,96,8,,,,22,,,,0,,,,27,6,,6,,,10,0,"quad2","Middle TennesseeUNC Wilmington3-23",2022
"2022-03-23","post","A",false,"Wake Forest","ACC","Texas A&M","SEC",200,74,18,53,6,27,10,16,7,31,38,15,6,3,21,19,52,3,3,9,0.33333,22,11,20,0.55,8,4,4,1,12,10,,0,"40-30",8,0,0,"quad1","Wake ForestTexas A&M3-23",2022
"2022-03-23","post","H",true,"Texas A&M","SEC","Wake Forest","ACC",200,74,24,61,5,23,14,24,10,31,41,8,14,2,12,16,67,6,3,8,0.375,32,16,33,0.48485,13,7,8,0.875,17,20,"63 - 42",21,"27-9",10,0,38.3,"quad2","Wake ForestTexas A&M3-23",2022
"2022-03-23","post","A",true,"Washington St.","P12","BYU","WCC",200,65,29,66,9,27,10,15,13,26,39,11,11,4,6,19,77,15,7,13,0.53846,32,16,32,0.5,6,4,4,1,25,13,"52 - 75",23,"22-31",12,3,26.1,"quad1","Washington St.BYU3-23",2022
"2022-03-23","post","H",false,"BYU","WCC","Washington St.","P12",200,65,23,56,3,20,9,15,12,28,40,12,3,3,13,17,58,15,10,12,0.83333,32,16,29,0.55172,2,1,1,1,6,11,"18 - 12",6,"39-42",7,3,12.016667,"quad2","Washington St.BYU3-23",2022
"2022-03-23","post","A",false,"Youngstown St.","Horz","Fresno St.","MWC",200,69,23,51,6,22,19,21,5,25,30,10,6,2,14,24,71,6,3,5,0.6,30,15,26,0.57692,8,6,8,0.75,8,13,"37 - 47",10,"0-7",7,13,24.733333,"quad2","Youngstown St.Fresno St.3-23",2022
"2022-03-23","post","H",true,"Fresno St.","MWC","Youngstown St.","Horz",200,69,27,54,9,28,17,28,9,23,32,14,7,3,10,14,80,10,6,12,0.5,32,16,24,0.66667,5,5,10,0.5,41,16,"73 - 63",10,"66-59",12,13,9.783333,"quad4","Youngstown St.Fresno St.3-23",2022
"2022-03-22","post","A",true,"St. Bonaventure","A10","Virginia","ACC",200,58,20,54,3,15,9,9,7,27,34,9,5,5,7,12,52,8,4,6,0.66667,28,14,26,0.53846,11,6,6,1,4,6,"15 - 21",6,"40-42",7,8,18.081667,"quad1","St. BonaventureVirginia3-22",2022
"2022-03-22","post","H",false,"Virginia","ACC","St. Bonaventure","A10",200,58,20,53,5,19,6,8,8,27,35,13,2,2,9,11,51,8,4,6,0.66667,20,10,21,0.47619,0,0,0,,4,7,"32 - 27",5,"50-45",8,8,19.285,"quad2","St. BonaventureVirginia3-22",2022
"2022-03-22","post","A",true,"Southern Utah","BSky","UTEP","CUSA",200,66,32,55,10,23,8,9,6,32,38,17,2,3,14,11,82,5,3,7,0.42857,36,18,23,0.78261,6,4,4,1,20,6,"54 - 72",18,"18-31",14,4,30.35,"quad3","Southern UtahUTEP3-22",2022
"2022-03-22","post","H",false,"UTEP","CUSA","Southern Utah","BSky",200,66,24,64,9,28,12,13,9,18,27,10,7,2,5,9,69,5,3,9,0.33333,22,11,19,0.57895,11,7,8,0.875,10,14,"12 - 7",5,"12-7",5,4,6.716667,"quad4","Southern UtahUTEP3-22",2022
"2022-03-22","post","A",false,"Vanderbilt","SEC","Xavier","BE",200,67,26,59,8,24,13,18,10,24,34,14,5,2,10,18,73,6,4,9,0.44444,30,15,26,0.57692,6,3,3,1,13,10,"31 - 41",10,"31-41",8,9,27.028333,"quad1","VanderbiltXavier3-22",2022
