"date","type","team","conf","opp","opp_conf","loc","result","avg_marg","opp_avg_marg","adj_o","adj_d","off_ppp","off_efg","off_to","off_or","off_ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","season","tempo","game_id","coach","opp_coach"
2011-03-21,"post","Davidson","SC","Creighton","MVC","A","L, 102-92",0.310025,0.783691,124.4,116.3,118.1,58.6,14.1,31.2,37.5,130.9,56.9,11.6,32,74.1,68.4,2011,77.9,"310800156","Bob McKillop","Greg McDermott"
2011-03-21,"post","Oklahoma St.","B12","Washington St.","P10","A","L, 74-64",-7.46569,0.872059,107.6,107.2,98.9,44.1,12.4,27,25.4,114.3,49.1,15.4,30.3,49.1,51.1,2011,64.7,"310800265","Travis Ford","Ken Bone"
2011-03-21,"post","Washington St.","P10","Oklahoma St.","B12","H","W, 74-64",7.46569,0.679034,121.3,96.6,114.3,49.1,15.4,30.3,49.1,98.9,44.1,12.4,27,25.4,93.2,2011,64.7,"310800265","Ken Bone","Travis Ford"
2011-03-21,"post","Alabama","SEC","New Mexico","MWC","H","W, 74-67",4.28905,0.767161,119.6,97.6,115.3,59.2,20.3,40,61.2,104.4,45.7,18.7,35.9,29.3,91.2,2011,64.2,"310800333","Anthony Grant","Steve Alford"
2011-03-21,"post","New Mexico","MWC","Alabama","SEC","A","L, 74-67",-4.28905,0.884721,120.2,111.2,104.4,45.7,18.7,35.9,29.3,115.3,59.2,20.3,40,61.2,71,2011,64.2,"310800333","Steve Alford","Anthony Grant"
2011-03-21,"post","Rhode Island","A10","UCF","CUSA","A","L, 66-54",-1.90077,0.715307,91.9,95.5,83.9,47.9,17.1,13.8,35.4,102.5,49.2,15.5,40,18.8,39.1,2011,64.4,"310802116","Jim Baron","Donnie Jones"
2011-03-21,"post","UCF","CUSA","Rhode Island","A10","H","W, 66-54",1.90077,0.543842,101.6,88.8,102.5,49.2,15.5,40,18.8,83.9,47.9,17.1,13.8,35.4,82.4,2011,64.4,"310802116","Donnie Jones","Jim Baron"
2011-03-21,"post","Miami FL","ACC","Missouri St.","MVC","H","W, 81-72",3.45466,0.692379,123.8,105,127,57.7,12.5,30.8,46.2,112.9,47.7,11,37.2,22.7,86.9,2011,63.8,"310802390","Frank Haith","Cuonzo Martin"
2011-03-21,"post","Missouri St.","MVC","Miami FL","ACC","A","L, 81-72",-3.45466,0.865022,119.8,111.9,112.9,47.7,11,37.2,22.7,127,57.7,12.5,30.8,46.2,68.6,2011,63.8,"310802390","Cuonzo Martin","Frank Haith"
2011-03-21,"post","Northern Iowa","MVC","SMU","CUSA","H","L, 57-50",-6.23909,0.490814,88.2,104.3,89.7,32.4,9,23.5,39.2,102.2,59.2,19.7,20,50,12.7,2011,55.8,"310802460","Ben Jacobson","Matt Doherty"
2011-03-21,"post","SMU","CUSA","Northern Iowa","MVC","A","W, 57-50",6.23909,0.742389,106.2,82.2,102.2,59.2,19.7,20,50,89.7,32.4,9,23.5,39.2,95,2011,55.8,"310802460","Matt Doherty","Ben Jacobson"
2011-03-21,"post","Duquesne","A10","Oregon","P10","A","L, 77-75",-3.33695,0.812418,108.5,100.6,102.6,59.2,23.3,26.7,13.3,105.4,46.7,20.5,39.5,42.6,70.6,2011,73.1,"310802483","Ron Everhart","Dana Altman"
2011-03-21,"post","Oregon","P10","Duquesne","A10","H","W, 77-75",3.33695,0.759054,113.8,97.8,105.4,46.7,20.5,39.5,42.6,102.6,59.2,23.3,26.7,13.3,85,2011,73.1,"310802483","Dana Altman","Ron Everhart"
2011-03-20,"post","Florida St.","ACC","Notre Dame","BE","N","W, 71-57",10.8216,0.936912,119.6,73.5,111.9,55.2,18.9,28.1,52.1,89.8,36.3,12.6,32.6,30.6,99.6,2011,63.5,"310790087","Leonard Hamilton","Mike Brey"
2011-03-20,"post","Notre Dame","BE","Florida St.","ACC","N","L, 71-57",-10.8216,0.876184,103.7,112.6,89.8,36.3,12.6,32.6,30.6,111.9,55.2,18.9,28.1,52.1,28.1,2011,63.5,"310790087","Mike Brey","Leonard Hamilton"
2011-03-20,"post","Duke","ACC","Michigan","B10","N","W, 73-71",5.12891,0.89071,132.5,102.3,118.6,56.1,17.9,35.7,51,115.4,57.5,11.4,14.8,20.8,95.2,2011,61.5,"310790150","Mike Krzyzewski","John Beilein"
2011-03-20,"post","Michigan","B10","Duke","ACC","N","L, 73-71",-5.12891,0.963365,127.2,103.4,115.4,57.5,11.4,14.8,20.8,118.6,56.1,17.9,35.7,51,91.6,2011,61.5,"310790150","John Beilein","Mike Krzyzewski"
2011-03-20,"post","North Carolina","ACC","Washington","P10","N","W, 86-83",-1.88068,0.912665,121.6,98.6,116,51.5,12.1,31.6,34.8,112,52.8,17.5,35.9,9.7,91.8,2011,74.1,"310790153","Roy Williams","Lorenzo Romar"
2011-03-20,"post","Washington","P10","North Carolina","ACC","N","L, 86-83",1.88068,0.930156,129.7,104.2,112,52.8,17.5,35.9,9.7,116,51.5,12.1,31.6,34.8,92.6,2011,74.1,"310790153","Lorenzo Romar","Roy Williams"
2011-03-20,"post","Marquette","BE","Syracuse","BE","N","W, 66-62",-2.33932,0.923824,111.4,88.6,102.9,46.1,21.8,37.5,45.1,96.7,60.6,28.1,18.2,14.9,93.3,2011,64.1,"310790183","Buzz Williams","Jim Boeheim"
2011-03-20,"post","Syracuse","BE","Marquette","BE","N","L, 66-62",2.33932,0.877217,104.9,89.4,96.7,60.6,28.1,18.2,14.9,102.9,46.1,21.8,37.5,45.1,86.2,2011,64.1,"310790183","Jim Boeheim","Buzz Williams"
2011-03-20,"post","George Mason","CAA","Ohio St.","B10","N","L, 98-66",-12.6457,0.976933,117.3,116.3,99.3,50,25.6,37.1,11.7,147.5,74.6,13.5,40.7,30.5,52.5,2011,66.4,"310790194","Jim Larranaga","Thad Matta"
2011-03-20,"post","Ohio St.","B10","George Mason","CAA","N","W, 98-66",12.6457,0.849436,151.8,95.1,147.5,74.6,13.5,40.7,30.5,99.3,50,25.6,37.1,11.7,99.5,2011,66.4,"310790194","Thad Matta","Jim Larranaga"
2011-03-20,"post","Arizona","P10","Texas","B12","N","W, 70-69",4.06255,0.950078,124.7,91,106.1,51.9,18.2,32.4,40.7,104.6,48.1,19.7,32.3,41.5,97.4,2011,65.9,"310790251","Sean Miller","Rick Barnes"
2011-03-20,"post","Texas","B12","Arizona","P10","N","L, 70-69",-4.06255,0.907052,107.8,93.8,104.6,48.1,19.7,32.3,41.5,106.1,51.9,18.2,32.4,40.7,83.2,2011,65.9,"310790251","Rick Barnes","Sean Miller"
2011-03-20,"post","Virginia Tech","ACC","Wichita St.","MVC","H","L, 79-76",0.193919,0.839129,114.7,101,107.2,50,18.3,25,68,111.4,57.1,19.7,35.3,19,81.2,2011,63,"310790259","Seth Greenberg","Gregg Marshall"
2011-03-20,"post","Wichita St.","MVC","Virginia Tech","ACC","A","W, 79-76",-0.193919,0.907587,123.1,99.3,111.4,57.1,19.7,35.3,19,107.2,50,18.3,25,68,92.2,2011,63,"310790259","Gregg Marshall","Seth Greenberg"
2011-03-20,"post","Fairfield","MAAC","Kent St.","MAC","H","L, 72-68",-0.4925,0.574707,107.4,108,105,50.8,18.5,36.1,21.7,111.2,56.7,15.4,25.8,8.3,48.3,2011,64.8,"310792217","Ed Cooley","Geno Ford"
2011-03-20,"post","Kent St.","MAC","Fairfield","MAAC","A","W, 72-68",0.4925,0.723332,123.5,110,111.2,56.7,15.4,25.8,8.3,105,50.8,18.5,36.1,21.7,79.1,2011,64.8,"310792217","Geno Ford","Ed Cooley"
2011-03-20,"post","Illinois","B10","Kansas","B12","N","L, 73-59",-6.35752,0.965751,102.6,92.1,88.9,43.3,18.1,25.6,15,110,55.8,18.1,25,38.5,77.5,2011,66.4,"310792305","Bruce Weber","Bill Self"
2011-03-20,"post","Kansas","B12","Illinois","B10","N","W, 73-59",6.35752,0.929812,121.3,80.7,110,55.8,18.1,25,38.5,88.9,43.3,18.1,25.6,15,99.1,2011,66.4,"310792305","Bill Self","Bruce Weber"
2011-03-20,"post","Purdue","B10","VCU","CAA","N","L, 94-76",-7.40091,0.800117,120.6,127.2,114.4,50.7,10.5,33.3,16.4,141.5,63.1,6,31,21.5,35.1,2011,66.4,"310792509","Matt Painter","Shaka Smart"
2011-03-20,"post","VCU","CAA","Purdue","B10","N","W, 94-76",7.40091,0.935826,156.2,104,141.5,63.1,6,31,21.5,114.4,50.7,10.5,33.3,16.4,99.1,2011,66.4,"310792509","Shaka Smart","Matt Painter"
2011-03-19,"post","San Diego St.","MWC","Temple","A10","N","W, 71-64",2.92811,0.859166,111,87.1,102.5,47.7,18.8,37.1,13.8,92.4,42.4,15.9,31,16.7,94.2,2011,55.4,"310780021","Steve Fisher","Fran Dunphy"
2011-03-19,"post","Temple","A10","San Diego St.","MWC","N","L, 71-64",-2.92811,0.932606,106,91.9,92.4,42.4,15.9,31,16.7,102.5,47.7,18.8,37.1,13.8,83.8,2011,55.4,"310780021","Fran Dunphy","Steve Fisher"
2011-03-19,"post","Cincinnati","BE","Connecticut","BE","N","L, 69-58",-1.66906,0.926246,112,99.5,97.6,43.6,13.5,25.7,25.5,116.1,50,15.1,36,68.2,79.6,2011,59.5,"310780041","Mick Cronin","Jim Calhoun"
2011-03-19,"post","Connecticut","BE","Cincinnati","BE","N","W, 69-58",1.66906,0.899749,125.3,93.5,116.1,50,15.1,36,68.2,97.6,43.6,13.5,25.7,25.5,96.7,2011,59.5,"310780041","Jim Calhoun","Mick Cronin"
2011-03-19,"post","Florida","SEC","UCLA","P10","N","W, 73-65",1.3937,0.846255,127.5,102.5,118.7,55.6,13,27.6,31.5,105.7,44.5,13,36.8,45.5,92.5,2011,61.5,"310780057","Billy Donovan","Ben Howland"
2011-03-19,"post","UCLA","P10","Florida","SEC","N","L, 73-65",-1.3937,0.913298,117.3,102.6,105.7,44.5,13,36.8,45.5,118.7,55.6,13,27.6,31.5,82.4,2011,61.5,"310780057","Ben Howland","Billy Donovan"
