"","rk","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date"
"19",19,"Texas A&M","SEC","0-0",110.9,26,93,24,0.884,"20-9","11-7",0,78,16,3,2022-11-06
"20",20,"Xavier","BE","0-0",111.8,18,94,39,0.8802,"20-9","13-7",0,16,19,1,2022-11-06
"21",21,"Auburn","SEC","0-0",108.3,50,91.3,9,0.8764,"19-11","10-8",0,156,14,7,2022-11-06
"22",22,"Creighton","BE","0-0",109.1,42,92.1,16,0.8745,"20-9","13-7",0,73,27,-5,2022-11-06
"23",23,"Miami FL","ACC","0-0",112.5,10,95.1,52,0.8736,"21-9","12-8",0,240,34,-11,2022-11-06
"24",24,"Virginia Tech","ACC","0-0",110.6,30,93.7,34,0.8708,"20-9","12-8",0,316,24,0,2022-11-06
"25",25,"Florida","SEC","0-0",110.2,35,93.5,33,0.8687,"19-10","10-8",0,217,20,5,2022-11-06
"26",26,"Michigan St.","B10","0-0",111.4,21,94.6,47,0.8681,"18-11","12-8",0,191,25,1,2022-11-06
"27",27,"Texas Tech","B12","0-0",105.9,95,90,4,0.8661,"18-11","8-10",0,291,23,4,2022-11-06
"28",28,"Notre Dame","ACC","0-0",113.9,6,97.2,88,0.8611,"22-9","12-8",0,72,29,-1,2022-11-06
"29",29,"Memphis","Amer","0-0",107.6,61,91.8,12,0.861,"20-9","12-6",0,68,21,8,2022-11-06
"30",30,"Iowa","B10","0-0",113.2,8,96.6,77,0.8607,"20-10","12-8",0,211,26,4,2022-11-06
"31",31,"Purdue","B10","0-0",112.6,9,96.2,70,0.8606,"19-10","12-8",0,264,31,0,2022-11-06
"32",32,"West Virginia","B12","0-0",110.5,32,94.4,44,0.8586,"17-12","8-10",0,108,32,0,2022-11-06
"33",33,"Oklahoma","B12","0-0",110.4,33,94.4,43,0.8584,"16-13","8-10",0,109,37,-4,2022-11-06
"34",34,"Kansas St.","B12","0-0",110.7,28,94.7,49,0.8564,"17-12","8-10",0,149,33,1,2022-11-06
"35",35,"Oklahoma St.","B12","0-0",107.4,63,92,14,0.8555,"18-12","8-10",0,120,38,-3,2022-11-06
"36",36,"Dayton","A10","0-0",108.6,47,93.2,26,0.8535,"22-7","13-5",0,325,36,0,2022-11-06
"37",37,"Stanford","P12","0-0",109.7,36,94.2,41,0.8524,"19-10","13-7",0,354,41,-4,2022-11-06
"38",38,"Oregon","P12","0-0",112,15,96.3,72,0.8506,"21-9","12-8",0,215,39,-1,2022-11-06
"39",39,"Michigan","B10","0-0",111.4,20,95.9,65,0.8494,"19-11","12-8",0,132,28,11,2022-11-06
"40",40,"USC","P12","0-0",108.4,49,93.5,32,0.8455,"20-9","12-8",0,343,51,-11,2022-11-06
"41",41,"Saint Louis","A10","0-0",110.5,31,95.5,59,0.8421,"22-8","13-5",0,244,40,1,2022-11-06
"42",42,"Alabama","SEC","0-0",109.1,40,94.5,46,0.8393,"16-13","9-9",0,179,35,7,2022-11-06
"43",43,"Tulane","Amer","0-0",112.3,12,97.5,92,0.8355,"21-7","12-6",0,12,42,1,2022-11-06
"44",44,"UAB","CUSA","0-0",110.8,27,96.4,74,0.8326,"23-7","15-5",0,11,43,1,2022-11-06
"45",45,"Mississippi","SEC","0-0",107.9,55,93.9,38,0.8313,"18-11","9-9",0,96,50,-5,2022-11-06
"46",46,"Wyoming","MWC","0-0",110.6,29,96.7,79,0.8241,"19-9","11-7",0,97,47,-1,2022-11-06
"47",47,"St. John's","BE","0-0",107.3,64,93.9,37,0.8229,"19-11","11-9",0,145,44,3,2022-11-06
"48",48,"Missouri","SEC","0-0",112,14,98.1,102,0.8226,"19-12","9-9",0,286,52,-4,2022-11-06
"49",49,"Iowa St.","B12","0-0",105.5,102,92.4,19,0.8215,"15-14","7-11",0,262,46,3,2022-11-06
"50",50,"Arizona St.","P12","0-0",105.8,99,92.9,23,0.8169,"19-11","11-9",0,245,58,-8,2022-11-06
"51",51,"Utah St.","MWC","0-0",106.8,72,93.8,35,0.8161,"20-9","12-6",0,26,45,6,2022-11-06
"52",52,"Maryland","B10","0-0",108.9,43,95.7,62,0.8156,"18-12","11-9",0,31,49,3,2022-11-06
"53",53,"Cincinnati","Amer","0-0",108.1,54,95.2,53,0.8117,"20-9","11-7",0,287,53,0,2022-11-06
"54",54,"Loyola Chicago","A10","0-0",105.8,100,93.3,29,0.8077,"20-8","12-6",0,101,69,-15,2022-11-06
"55",55,"Seton Hall","BE","0-0",105.5,104,93.2,27,0.8056,"17-12","11-9",0,223,55,0,2022-11-06
"56",56,"Rutgers","B10","0-0",104.8,118,92.8,22,0.8031,"19-12","10-10",0,338,48,8,2022-11-06
"57",57,"North Texas","CUSA","0-0",107,69,94.8,50,0.8017,"20-8","14-6",0,79,56,1,2022-11-06
"58",58,"Clemson","ACC","0-0",107.6,59,95.4,57,0.7999,"18-12","10-10",0,195,64,-6,2022-11-06
"59",59,"Drake","MVC","0-0",109.6,37,97.3,90,0.798,"23-6","16-4",0,285,59,0,2022-11-06
"60",60,"Connecticut","BE","0-0",108.1,53,96.3,73,0.7906,"17-12","10-10",0,281,60,0,2022-11-06
"61",61,"Wisconsin","B10","0-0",104.4,123,93.1,25,0.7893,"16-13","10-10",0,178,54,7,2022-11-06
"62",62,"Saint Mary's","WCC","0-0",103.5,141,92.3,17,0.7887,"18-11","10-6",0,219,57,5,2022-11-06
"63",63,"LSU","SEC","0-0",105.2,109,94.1,40,0.7822,"17-12","7-11",0,40,63,0,2022-11-06
"64",64,"Fresno St.","MWC","0-0",106.6,77,95.7,61,0.7766,"19-10","11-7",0,42,65,-1,2022-11-06
"65",65,"Boise St.","MWC","0-0",106,89,95.3,56,0.7721,"18-10","10-7",0,363,66,-1,2022-11-06
"66",66,"Ohio St.","B10","0-0",109.3,39,98.4,109,0.7696,"15-14","9-11",0,221,62,4,2022-11-06
"67",67,"Providence","BE","0-0",106.6,78,96,68,0.769,"17-13","10-10",0,60,67,0,2022-11-06
"68",68,"Washington St.","P12","0-0",106.1,87,95.6,60,0.7684,"16-13","9-11",0,277,61,7,2022-11-06
"69",69,"Marquette","BE","0-0",106.2,85,96.1,69,0.7595,"16-14","9-11",0,51,73,-4,2022-11-06
"70",70,"Temple","Amer","0-0",104.9,115,95,51,0.7593,"18-12","10-8",0,234,82,-12,2022-11-06
"71",71,"Liberty","ASun","0-0",106.6,79,96.6,78,0.7556,"24-6","14-4",0,129,71,0,2022-11-06
"72",72,"Florida St.","ACC","0-0",105.8,98,95.9,66,0.7548,"15-14","9-11",0,222,98,-26,2022-11-06
"73",73,"Furman","SC","0-0",109.1,41,99.2,124,0.7493,"23-6","14-4",0,302,74,-1,2022-11-06
"74",74,"VCU","A10","0-0",101.2,204,92,13,0.7491,"19-11","11-7",0,317,70,4,2022-11-06
"75",75,"Vanderbilt","SEC","0-0",105.2,107,95.8,63,0.7472,"15-15","7-11",0,65,84,-9,2022-11-06
"76",76,"Mississippi St.","SEC","0-0",105.2,108,95.8,64,0.7456,"16-14","7-11",0,266,75,1,2022-11-06
"77",77,"Boston College","ACC","0-0",106.3,82,96.9,82,0.7442,"15-14","8-12",0,35,81,-4,2022-11-06
"78",78,"UC Santa Barbara","BW","0-0",108.2,51,98.8,116,0.7401,"25-7","16-4",0,1,77,1,2022-11-06
"79",79,"Syracuse","ACC","0-0",109.3,38,99.9,138,0.7385,"16-14","8-12",0,307,78,1,2022-11-06
"80",80,"Colorado","P12","0-0",103,156,94.3,42,0.7343,"16-13","9-11",0,196,72,8,2022-11-06
"81",81,"Penn St.","B10","0-0",104.8,119,96,67,0.7329,"15-14","8-12",0,37,76,5,2022-11-06
"82",82,"BYU","WCC","0-0",106.8,71,97.8,99,0.7319,"18-11","9-7",0,14,88,-6,2022-11-06
"83",83,"Washington","P12","0-0",105,113,96.5,76,0.726,"16-14","9-11",0,199,83,0,2022-11-06
"84",84,"Wake Forest","ACC","0-0",107.3,65,98.7,114,0.7235,"14-16","8-12",0,19,80,4,2022-11-06
"85",85,"New Mexico","MWC","0-0",108.6,46,100,140,0.7209,"19-12","10-8",0,232,85,0,2022-11-06
"86",86,"Towson","CAA","0-0",108.5,48,100.1,142,0.7159,"23-8","14-4",0,125,93,-7,2022-11-06
"87",87,"Florida Atlantic","CUSA","0-0",106.5,80,98.3,107,0.7133,"20-11","12-8",0,20,86,1,2022-11-06
"88",88,"San Francisco","WCC","0-0",104.5,122,96.8,80,0.7079,"18-11","8-8",0,279,92,-4,2022-11-06
"89",89,"DePaul","BE","0-0",106,90,98.2,105,0.7059,"14-16","8-12",0,115,91,-2,2022-11-06
"90",90,"Utah Valley","WAC","0-0",106,88,98.3,106,0.7052,"20-10","12-6",0,265,103,-13,2022-11-06
"91",91,"Nebraska","B10","0-0",106.3,83,98.6,113,0.7035,"13-16","8-12",0,89,94,-3,2022-11-06
"92",92,"North Carolina St.","ACC","0-0",107.6,60,99.9,137,0.7025,"14-15","7-13",0,5,68,24,2022-11-06
"93",93,"Toledo","MAC","0-0",106.7,75,99,121,0.7008,"21-7","14-4",0,3,79,14,2022-11-06
"94",94,"Vermont","AE","0-0",106.7,74,99.1,122,0.6994,"21-8","13-3",0,128,89,5,2022-11-06
"95",95,"Colorado St.","MWC","0-0",105.8,97,98.4,108,0.6978,"17-12","9-9",0,200,107,-12,2022-11-06
"96",96,"Louisiana Tech","CUSA","0-0",103.4,144,96.2,71,0.6972,"19-12","12-8",0,350,95,1,2022-11-06
"97",97,"Northwestern","B10","0-0",102.3,175,95.2,54,0.6953,"15-15","7-13",0,135,87,10,2022-11-06
"98",98,"Bradley","MVC","0-0",104.2,127,97,85,0.6939,"21-9","14-6",0,292,96,2,2022-11-06
"99",99,"Georgia Tech","ACC","0-0",102.3,177,95.3,55,0.6936,"15-15","8-12",0,49,97,2,2022-11-06
"100",100,"Middle Tennessee","CUSA","0-0",105,114,98,101,0.6885,"20-11","12-8",0,214,100,0,2022-11-06
"101",101,"Louisville","ACC","0-0",103.8,137,96.9,83,0.687,"13-16","7-13",0,61,102,-1,2022-11-06
"102",102,"George Mason","A10","0-0",105.9,94,98.9,119,0.6859,"17-12","10-8",0,331,111,-9,2022-11-06
"103",103,"Portland","WCC","0-0",108.1,52,101.1,160,0.6854,"18-11","8-8",0,274,104,-1,2022-11-06
"104",104,"Oral Roberts","Sum","0-0",111,24,103.9,215,0.6823,"23-7","14-4",0,45,109,-5,2022-11-06
"105",105,"South Carolina","SEC","0-0",102,182,95.5,58,0.6814,"13-16","6-12",0,173,105,0,2022-11-06
"106",106,"UNLV","MWC","0-0",104.9,116,98.5,111,0.6739,"15-13","8-9",0,345,101,5,2022-11-06
"107",107,"Southern Illinois","MVC","0-0",103.3,146,97.1,87,0.6709,"20-10","13-7",0,111,90,17,2022-11-06
"108",108,"UNC Greensboro","SC","0-0",103.4,142,97.4,91,0.6675,"21-10","13-5",0,334,108,0,2022-11-06
"109",109,"Colgate","Pat","0-0",105.9,92,99.7,134,0.6674,"23-8","15-3",0,342,117,-8,2022-11-06
"110",110,"Butler","BE","0-0",103.9,135,97.9,100,0.665,"13-16","7-13",0,208,99,11,2022-11-06
"111",111,"UCF","Amer","0-0",104.2,129,98.2,104,0.6641,"15-14","8-10",0,169,121,-10,2022-11-06
"112",112,"Longwood","BSth","0-0",107.9,56,101.7,172,0.6639,"24-7","14-4",0,355,123,-11,2022-11-06
"113",113,"Abilene Christian","WAC","0-0",103.6,139,97.7,96,0.6635,"21-10","11-7",0,33,110,3,2022-11-06
"114",114,"Grand Canyon","WAC","0-0",106.2,86,100.1,143,0.6622,"20-10","11-7",0,190,114,0,2022-11-06
"115",115,"South Florida","Amer","0-0",102.5,170,97,84,0.6544,"17-13","8-10",0,295,131,-16,2022-11-06
"116",116,"Richmond","A10","0-0",104.1,130,98.5,112,0.654,"17-13","9-9",0,59,113,3,2022-11-06
"117",117,"Jacksonville","ASun","0-0",105.5,103,100,139,0.65,"20-9","13-5",0,352,130,-13,2022-11-06
"118",118,"Davidson","A10","0-0",106.3,84,100.8,155,0.6469,"16-12","9-9",0,62,118,0,2022-11-06
"119",119,"Western Kentucky","CUSA","0-0",105.9,93,100.9,156,0.6379,"17-12","11-9",0,357,122,-3,2022-11-06
"120",120,"Samford","SC","0-0",108.7,45,103.5,210,0.6357,"22-9","12-6",0,147,124,-4,2022-11-06
"121",121,"Santa Clara","WCC","0-0",104.2,128,99.3,125,0.635,"17-13","8-8",0,228,127,-6,2022-11-06
"122",122,"Sam Houston St.","WAC","0-0",101.1,205,96.5,75,0.6324,"19-11","11-7",0,313,119,3,2022-11-06
"123",123,"Iona","MAAC","0-0",104.4,124,99.6,132,0.6306,"19-10","15-5",0,260,106,17,2022-11-06
"124",124,"South Dakota St.","Sum","0-0",107.1,66,102.3,183,0.6295,"21-10","14-4",0,288,125,-1,2022-11-06
"125",125,"Pittsburgh","ACC","0-0",105.3,106,100.5,150,0.6291,"13-17","6-14",0,301,116,9,2022-11-06
"126",126,"Wichita St.","Amer","0-0",103.3,147,98.7,115,0.6266,"14-15","8-10",0,361,112,14,2022-11-06
"127",127,"Georgia","SEC","0-0",107.8,57,103.2,204,0.6212,"13-17","5-13",0,241,126,1,2022-11-06
"128",128,"Akron","MAC","0-0",104.7,120,100.3,146,0.6194,"20-9","12-6",0,67,132,-4,2022-11-06
"129",129,"Utah","P12","0-0",103.4,145,99.3,126,0.614,"14-16","7-13",0,349,120,9,2022-11-06
"130",130,"UTEP","CUSA","0-0",101,206,97.1,86,0.6124,"17-13","10-10",0,100,134,-4,2022-11-06
"131",131,"Louisiana Lafayette","SB","0-0",105.4,105,101.4,165,0.6105,"19-10","12-6",0,243,133,-2,2022-11-06
"132",132,"Chattanooga","SC","0-0",102.9,162,99,120,0.6097,"21-10","12-6",0,86,140,-8,2022-11-06
"133",133,"Rhode Island","A10","0-0",101.6,196,97.8,97,0.609,"16-13","9-9",0,311,142,-9,2022-11-06
"134",134,"Montana St.","BSky","0-0",106.4,81,102.4,185,0.6077,"20-10","14-4",0,119,129,5,2022-11-06
"135",135,"New Mexico St.","WAC","0-0",102.9,160,99.2,123,0.6046,"16-14","10-8",0,271,136,-1,2022-11-06
"136",136,"UC Irvine","BW","0-0",100.4,221,96.8,81,0.6046,"19-12","13-7",0,9,135,1,2022-11-06
"137",137,"Stephen F. Austin","WAC","0-0",101.4,198,97.8,98,0.6034,"19-12","11-7",0,326,137,0,2022-11-06
"138",138,"Penn","Ivy","0-0",106,91,102.2,182,0.6021,"18-11","9-5",0,162,152,-14,2022-11-06
"139",139,"Nicholls St.","Slnd","0-0",103.1,150,99.6,131,0.598,"19-9","15-3",0,339,150,-11,2022-11-06
"140",140,"Kent St.","MAC","0-0",103,155,99.5,130,0.597,"19-11","12-6",0,276,115,25,2022-11-06
"141",141,"Norfolk St.","MEAC","0-0",102.7,166,99.4,128,0.5935,"22-8","11-3",0,85,139,2,2022-11-06
"142",142,"Texas St.","SB","0-0",101.7,192,98.5,110,0.5914,"20-10","12-6",0,94,143,-1,2022-11-06
"143",143,"California","P12","0-0",100.3,223,97.2,89,0.5896,"12-18","7-13",0,238,154,-11,2022-11-06
"144",144,"College of Charleston","CAA","0-0",105.1,111,101.9,176,0.586,"19-10","12-6",0,136,138,6,2022-11-06
"145",145,"Seattle","WAC","0-0",100.5,219,97.6,94,0.5849,"17-12","10-8",0,23,128,17,2022-11-06
"146",146,"Indiana St.","MVC","0-0",102.3,176,99.4,127,0.5828,"19-10","12-8",0,201,141,5,2022-11-06
"147",147,"Fort Wayne","Horz","0-0",104.3,125,101.6,169,0.5774,"21-9","14-6",0,107,149,-2,2022-11-06
"148",148,"Ohio","MAC","0-0",104.3,126,101.6,170,0.5746,"20-11","12-6",0,46,146,2,2022-11-06
"149",149,"Northern Kentucky","Horz","0-0",102.8,164,100.6,152,0.5624,"20-9","14-6",0,139,169,-20,2022-11-06
"150",150,"Loyola Marymount","WCC","0-0",106.7,73,104.6,231,0.5575,"14-14","6-9",0,229,147,3,2022-11-06
"151",151,"SMU","Amer","0-0",100.9,212,98.9,118,0.5573,"12-17","6-12",0,58,144,7,2022-11-06
"152",152,"Fordham","A10","0-0",96.5,306,94.7,48,0.5537,"18-13","8-10",0,359,148,4,2022-11-06
"153",153,"Hawaii","BW","0-0",102,183,100.2,144,0.5503,"19-10","12-8",0,174,151,2,2022-11-06
"154",154,"Fairfield","MAAC","0-0",103.5,140,101.7,173,0.5489,"20-11","13-7",0,320,155,-1,2022-11-06
"155",155,"San Diego","WCC","0-0",101.7,190,100.1,141,0.5471,"14-14","6-9",0,38,153,2,2022-11-06
"156",156,"La Salle","A10","0-0",102,184,100.6,151,0.5389,"15-15","8-10",0,186,158,-2,2022-11-06
"157",157,"James Madison","SB","0-0",105.8,96,104.5,229,0.5366,"17-12","10-8",0,257,156,1,2022-11-06
"158",158,"South Dakota","Sum","0-0",107.7,58,106.5,268,0.5341,"19-10","12-6",0,118,170,-12,2022-11-06
"159",159,"Yale","Ivy","0-0",98.7,259,97.6,95,0.5319,"16-11","9-5",0,90,157,2,2022-11-06
"160",160,"South Alabama","SB","0-0",101.4,197,100.4,147,0.5306,"18-13","11-7",0,207,159,1,2022-11-06
"161",161,"George Washington","A10","0-0",102.3,178,101.2,163,0.5302,"15-14","7-11",0,323,160,1,2022-11-06
"162",162,"Long Beach St.","BW","0-0",103.9,134,103.1,202,0.5219,"17-13","12-8",0,146,145,17,2022-11-06
"163",163,"Cal Baptist","WAC","0-0",102.9,161,102.1,180,0.5215,"17-13","9-9",0,184,185,-22,2022-11-06
"164",164,"Harvard","Ivy","0-0",98.7,257,98.1,103,0.5185,"16-11","8-6",0,216,164,0,2022-11-06
"165",165,"Massachusetts","A10","0-0",106.6,76,106,260,0.5159,"13-15","7-11",0,304,161,4,2022-11-06
"166",166,"Minnesota","B10","0-0",102.4,172,101.8,175,0.5151,"11-19","4-16",0,98,163,3,2022-11-06
"167",167,"Bryant","AE","0-0",107,68,106.5,269,0.5141,"19-12","11-5",0,306,166,1,2022-11-06
"168",168,"Northeastern","CAA","0-0",100.3,225,99.8,136,0.5139,"16-12","11-7",0,21,182,-14,2022-11-06
"169",169,"Tulsa","Amer","0-0",100.9,213,100.5,149,0.5104,"11-16","6-12",0,187,171,-2,2022-11-06
"170",170,"Valparaiso","MVC","0-0",102.9,163,102.7,192,0.5056,"17-13","11-9",0,140,191,-21,2022-11-06
"171",171,"Nevada","MWC","0-0",103,153,102.9,197,0.5042,"11-18","6-12",0,80,165,6,2022-11-06
"172",172,"Old Dominion","SB","0-0",100.3,224,100.2,145,0.5022,"16-12","10-8",0,332,162,10,2022-11-06
"173",173,"Saint Joseph's","A10","0-0",99.7,236,99.7,133,0.5009,"12-16","7-11",0,218,172,1,2022-11-06
"174",174,"Marshall","SB","0-0",103.1,151,103.1,201,0.4992,"18-13","10-8",0,247,176,-2,2022-11-06
"175",175,"UC Riverside","BW","0-0",100.9,209,100.9,157,0.499,"17-15","11-9",0,194,187,-12,2022-11-06
"176",176,"Montana","BSky","0-0",102.5,169,102.6,191,0.4974,"19-11","12-6",0,10,174,2,2022-11-06
"177",177,"Georgetown","BE","0-0",104,132,104.2,222,0.4955,"10-20","4-16",0,258,175,2,2022-11-06
"178",178,"Southern Utah","WAC","0-0",105.1,112,105.3,247,0.4924,"15-14","8-10",0,300,177,1,2022-11-06
"179",179,"Rider","MAAC","0-0",102.6,168,102.9,198,0.4903,"18-11","12-8",0,34,180,-1,2022-11-06
"180",180,"Charlotte","CUSA","0-0",105.1,110,105.8,256,0.4812,"13-16","8-12",0,17,167,13,2022-11-06
"181",181,"Georgia Southern","SB","0-0",100.9,207,101.6,171,0.4802,"18-13","9-9",0,87,186,-5,2022-11-06
"182",182,"Southern","SWAC","0-0",98.9,254,99.8,135,0.4756,"19-11","14-4",0,236,193,-11,2022-11-06
"183",183,"Illinois St.","MVC","0-0",103,152,104.1,220,0.4701,"16-13","10-10",0,346,200,-17,2022-11-06
"184",184,"St. Bonaventure","A10","0-0",101.6,195,102.7,193,0.4699,"14-17","7-11",0,253,183,1,2022-11-06
"185",185,"Texas A&M Corpus Chris","Slnd","0-0",100.7,218,101.8,174,0.4686,"22-9","14-4",0,220,190,-5,2022-11-06
"186",186,"Hofstra","CAA","0-0",103.7,138,104.9,238,0.4679,"16-15","11-7",0,205,188,-2,2022-11-06
"187",187,"Georgia St.","SB","0-0",101.4,199,102.6,190,0.4661,"17-13","9-9",0,239,189,-2,2022-11-06
"188",188,"Tarleton St.","WAC","0-0",98.2,267,99.5,129,0.4643,"15-14","9-9",0,278,178,10,2022-11-06
"189",189,"Duquesne","A10","0-0",102.3,174,103.6,212,0.4636,"14-17","7-11",0,315,192,-3,2022-11-06
"190",190,"UNC Asheville","BSth","0-0",105.6,101,107,279,0.4628,"19-12","11-7",0,324,181,9,2022-11-06
"191",191,"Youngstown St.","Horz","0-0",107.4,62,108.8,314,0.4628,"20-11","13-7",0,351,184,7,2022-11-06
"192",192,"Quinnipiac","MAAC","0-0",104.1,131,105.5,250,0.4622,"18-13","12-8",0,310,179,13,2022-11-06
"193",193,"Pepperdine","WCC","0-0",99.8,234,101.2,162,0.4601,"13-16","5-11",0,183,168,25,2022-11-06
"194",194,"Ball St.","MAC","0-0",101.3,202,102.7,194,0.4594,"17-12","10-8",0,272,194,0,2022-11-06
"195",195,"Appalachian St.","SB","0-0",100,231,101.4,166,0.4587,"17-14","9-9",0,142,195,0,2022-11-06
"196",196,"Lipscomb","ASun","0-0",104.9,117,106.7,272,0.4518,"17-14","10-8",0,255,196,0,2022-11-06
"197",197,"Florida Gulf Coast","ASun","0-0",104,133,106.1,262,0.4424,"14-15","10-8",0,283,173,24,2022-11-06
"198",198,"Delaware","CAA","0-0",101.9,186,104,217,0.4415,"17-14","10-8",0,230,198,0,2022-11-06
"199",199,"Belmont","MVC","0-0",100.9,211,103.3,205,0.4335,"13-16","10-10",0,298,197,2,2022-11-06
"200",200,"Princeton","Ivy","0-0",101.7,191,104.3,224,0.4285,"15-11","7-7",0,348,205,-5,2022-11-06
"201",201,"Jacksonville St.","ASun","0-0",102.4,173,105,239,0.4278,"17-14","9-9",0,308,201,0,2022-11-06
"202",202,"FIU","CUSA","0-0",101.7,189,104.4,227,0.4256,"14-17","7-13",0,13,213,-11,2022-11-06
"203",203,"Missouri St.","MVC","0-0",101.3,201,104,218,0.4248,"13-16","9-11",0,64,203,0,2022-11-06
"204",204,"Cleveland St.","Horz","0-0",99.3,241,102,178,0.424,"18-13","12-8",0,144,204,0,2022-11-06
"205",205,"Western Michigan","MAC","0-0",103,157,105.9,257,0.4209,"17-14","10-8",0,270,207,-2,2022-11-06
"206",206,"Murray St.","MVC","0-0",97.6,279,100.4,148,0.4187,"12-16","9-11",0,70,208,-2,2022-11-06
"207",207,"Utah Tech","WAC","0-0",98.1,272,101,159,0.4157,"14-16","8-10",0,66,215,-8,2022-11-06
"208",208,"Mercer","SC","0-0",100.3,226,103.4,207,0.4143,"16-15","9-9",0,251,206,2,2022-11-06
"209",209,"North Florida","ASun","0-0",102.9,159,106.1,261,0.4137,"15-16","9-9",0,63,219,-10,2022-11-06
"210",210,"Cal Poly","BW","0-0",99.1,250,102.2,181,0.4129,"16-16","10-10",0,124,209,1,2022-11-06
"211",211,"Cornell","Ivy","0-0",101.7,188,105.1,242,0.4069,"14-13","7-7",0,106,202,9,2022-11-06
"212",212,"North Carolina A&T","CAA","0-0",98,274,101.5,167,0.4019,"15-15","10-8",0,198,214,-2,2022-11-06
"213",213,"Oakland","Horz","0-0",102.4,171,106.2,264,0.3963,"15-14","11-9",0,362,216,-3,2022-11-06
"214",214,"Northern Iowa","MVC","0-0",99.3,242,103,200,0.3961,"13-17","8-12",0,172,217,-3,2022-11-06
"215",215,"UNC Wilmington","CAA","0-0",103.1,148,107,278,0.3957,"15-14","10-8",0,130,210,5,2022-11-06
"216",216,"Troy","SB","0-0",99.5,238,103.5,208,0.391,"15-16","8-10",0,293,220,-4,2022-11-06
"217",217,"Rice","CUSA","0-0",103.8,136,108,298,0.3891,"13-18","6-14",0,32,249,-32,2022-11-06
"218",218,"Wofford","SC","0-0",100.4,222,104.4,228,0.3876,"15-16","9-9",0,123,221,-3,2022-11-06
"219",219,"UC Davis","BW","0-0",97.4,280,101.3,164,0.3876,"16-16","9-11",0,39,199,20,2022-11-06
"220",220,"Boston University","Pat","0-0",102.6,167,106.8,275,0.3865,"18-13","10-8",0,289,211,9,2022-11-06
"221",221,"San Jose St.","MWC","0-0",101.3,200,105.5,251,0.3856,"10-19","4-14",0,284,222,-1,2022-11-06
"222",222,"Austin Peay","ASun","0-0",98.7,261,102.8,195,0.3842,"15-15","9-9",0,337,257,-35,2022-11-06
"223",223,"East Carolina","Amer","0-0",98.1,269,102.5,187,0.3784,"10-19","4-14",0,134,223,0,2022-11-06
"224",224,"Morehead St.","OVC","0-0",96.7,297,101,158,0.3784,"19-12","12-6",0,92,230,-6,2022-11-06
"225",225,"Merrimack","NEC","0-0",96.2,312,100.7,154,0.3722,"19-12","11-5",0,344,237,-12,2022-11-06
"226",226,"Kennesaw St.","ASun","0-0",103.1,149,107.9,297,0.3718,"15-16","9-9",0,256,224,2,2022-11-06
"227",227,"Eastern Kentucky","ASun","0-0",100.8,214,105.6,252,0.3709,"15-16","8-10",0,161,226,1,2022-11-06
