"","rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
"90",90,"Duquesne","A10","19-9",0.71195679585685,109.210351560455,97,100.946261427401,95,68.5155158956313,137,"21.2-9.8","11.2-6.8",-3.34688155719479,110,2023-02-24
"91",91,"Hofstra","CAA","22-8",0.707963958097886,108.678894107218,108,100.624545706163,86,67.7688643014141,168,"22.9-8.1","15.9-2.1",-1.34497098453778,73,2023-02-24
"92",92,"Louisiana Lafayette","SB","23-7",0.703520137604637,114.005249580573,33,105.752755039718,190,68.8404449677909,123,"23-7","13-5",-0.969831143242358,67,2023-02-24
"93",93,"St. John's","BE","17-12",0.703068175805653,107.628627478229,127,99.8565224198398,77,73.648123588966,2,"17.4-13.6","7.4-12.6",-2.11357226060017,88,2023-02-24
"94",94,"Furman","SC","23-7",0.701629855454371,113.434328121892,38,105.305963059539,179,68.8531035433987,122,"23.5-7.5","14.5-3.5",-2.37744841285371,93,2023-02-24
"95",95,"Stanford","P12","11-17",0.697619680919069,113.102841383346,41,105.172604325631,175,65.8427251024279,275,"12.6-18.4","6.6-13.4",-6.55089911483239,166,2023-02-24
"96",96,"San Francisco","WCC","18-12",0.696431637304517,110.397344130408,78,102.707035050584,126,69.6445115136783,82,"18.3-12.7","7.3-8.7",-3.29435617770015,109,2023-02-24
"97",97,"UNC Greensboro","SC","20-10",0.696355362874413,104.395057963293,188,97.1259165718405,41,66.4574402589721,244,"20.7-10.3","14.7-3.3",-4.15488318567558,125,2023-02-24
"98",98,"Wichita St.","Amer","14-13",0.692685103240474,107.404791420143,130,100.076511308272,81,66.3262633126518,253,"15.1-14.9","8.1-9.9",-4.97587388514354,142,2023-02-24
"99",99,"Temple","Amer","15-14",0.688836675898741,108.368517424314,114,101.132795849968,99,66.4922452954216,243,"15.8-15.2","9.8-8.2",-4.73731601489184,138,2023-02-24
"100",100,"UC Irvine","BW","20-9",0.686862632226382,108.449941339101,111,101.289728952913,102,69.4301527835887,92,"21.9-10.1","14.9-5.1",-3.06765987065813,105,2023-02-24
"101",101,"South Alabama","SB","16-15",0.681736113099393,107.551178829879,128,100.657801635171,87,66.0959143917944,265,"16.6-15.4","9-9",-7.90919638424169,193,2023-02-24
"102",102,"Southern Miss","SB","25-6",0.675925179753105,107.876217727911,122,101.19628080166,101,68.6924228923161,131,"25-6","14-4",0.0726061375018583,54,2023-02-24
"103",103,"Vermont","AE","18-10",0.673864658146024,110.664717499173,76,103.896920190292,145,65.2304723063418,300,"19.6-10.4","13.6-2.4",-3.97859204514031,122,2023-02-24
"104",104,"Montana St.","BSky","20-9",0.672008167562335,105.008390950576,174,98.6588491988141,59,66.8240141014482,222,"21.3-9.7","14.3-3.7",-3.22448419149479,108,2023-02-24
"105",105,"San Jose St.","MWC","16-12",0.67022895474083,111.004388717415,69,104.365417185729,151,63.0310521613344,351,"17.5-13.5","8.5-9.5",-2.51223444222495,98,2023-02-24
"106",106,"Akron","MAC","19-9",0.669043750787933,107.96589960688,121,101.555955416614,106,64.9160734362916,311,"21-10","13-5",-3.5071366078935,117,2023-02-24
"107",107,"Washington","P12","16-13",0.666782118807531,104.185322886397,192,98.0867621900792,49,69.391287645521,93,"16.8-14.2","8.8-11.2",-2.16634656694352,90,2023-02-24
"108",108,"Saint Louis","A10","18-10",0.660313895472957,110.999396960488,70,104.765586681286,163,69.3651611190102,94,"19.5-11.5","11.5-6.5",-2.58183457308184,99,2023-02-24
"109",109,"Nebraska","B10","14-14",0.655475696763131,105.117156208483,173,99.3993289964471,70,66.620626452233,234,"15.4-15.6","8.4-11.6",-1.63058388134129,77,2023-02-24
"110",110,"Cal St. Fullerton","BW","17-12",0.653949264675496,104.429657128598,186,98.8072238762792,62,64.9800793075217,310,"18.6-12.4","12.6-6.4",-5.5668611478015,152,2023-02-24
"111",111,"James Madison","SB","21-10",0.646648344731543,105.819859849942,157,100.402489847912,84,70.8781391361596,36,"21-10","12-6",-3.83807012015323,119,2023-02-24
"112",112,"Colorado St.","MWC","13-16",0.645527141713744,112.505841330646,49,106.791711850821,211,66.6437935688733,232,"13.8-17.2","5.8-12.2",-5.83166209378087,155,2023-02-24
"113",113,"Southern Utah","WAC","19-9",0.637187733911278,110.256623516503,81,104.987208627793,170,72.2142365042927,15,"20.7-10.3","12.7-5.3",-2.44690030142533,96,2023-02-24
"114",114,"Eastern Washington","BSky","22-7",0.633589961981623,112.138123559523,53,106.923081137629,216,69.1610382034173,108,"23.3-7.7","17.3-0.7",-1.28312985127163,70,2023-02-24
"115",115,"Colgate","Pat","22-8",0.629219187425039,112.550216213553,46,107.491407729821,232,67.8447182686729,165,"22.5-8.5","16.5-1.5",-3.49694293393582,116,2023-02-24
"116",116,"Princeton","Ivy","17-8",0.6263519813058,109.548860465208,94,104.736647087329,162,68.3502215174668,146,"18.1-8.9","9.1-4.9",-3.80580804475072,118,2023-02-24
"117",117,"Penn","Ivy","16-11",0.621376686978049,110.623689774751,77,105.959439584499,195,67.1815209160564,201,"17.2-11.8","9.2-4.8",-4.90371142857339,139,2023-02-24
"118",118,"Charlotte","CUSA","17-11",0.621141432784976,107.329477603825,131,102.813060263018,129,60.4891305537611,362,"18.9-12.1","9.9-10.1",-4.50642067368479,133,2023-02-24
"119",119,"Loyola Marymount","WCC","18-11",0.618233638320326,109.192930429519,98,104.710381325258,161,67.8188516928899,166,"18.5-11.5","8.5-7.5",-2.18891221034621,91,2023-02-24
"120",120,"Mississippi","SEC","10-18",0.618018521072262,106.19189632587,150,101.840614796734,109,66.4272231158884,246,"11.2-19.8","3.2-14.8",-7.38685382350418,182,2023-02-24
"121",121,"Belmont","MVC","20-10",0.617998078913274,110.341507294519,80,105.820989579018,192,68.6270086109501,135,"20.6-10.4","13.6-6.4",-4.11920302172668,124,2023-02-24
"122",122,"Kennesaw St.","ASun","23-8",0.615749472233314,106.797261231425,139,102.506717435393,121,68.9835950764485,115,"23-8","15-3",-1.73797479951577,81,2023-02-24
"123",123,"South Florida","Amer","12-16",0.610858247300995,108.345072961153,117,104.179014222194,148,69.3262454493518,95,"13.9-17.1","6.9-11.1",-7.92172488558064,194,2023-02-24
"124",124,"Stephen F. Austin","WAC","18-10",0.610311315807685,106.016549531614,153,101.9604188329,112,69.2941154661192,101,"19.4-11.6","11.4-6.6",-4.92239822015433,140,2023-02-24
"125",125,"Tarleton St.","WAC","15-14",0.603612991581185,104.611329303519,182,100.85491183969,92,66.9162051390576,217,"16.6-14.4","8.6-8.4",-6.26676575307292,161,2023-02-24
"126",126,"Syracuse","ACC","16-12",0.602826786776287,109.573614071908,93,105.669187858203,187,67.3486335340961,189,"17.4-13.6","10.4-9.6",-4.02177212453593,123,2023-02-24
"127",127,"Hawaii","BW","20-9",0.59492197732809,101.782522087691,247,98.4369864526153,56,64.6258710436813,321,"21.7-10.3","12.7-7.3",-4.22969779193588,126,2023-02-24
"128",128,"Butler","BE","14-15",0.593615390211703,101.548025142346,253,98.256486353107,54,66.2649576449769,257,"14.3-16.7","6.3-13.7",-3.37663705128957,111,2023-02-24
"129",129,"Samford","SC","21-9",0.590941815203085,109.110996803114,101,105.676003647787,188,67.9866329223061,162,"22.5-8.5","15.5-2.5",-4.2309189264249,127,2023-02-24
"130",130,"UC Santa Barbara","BW","21-7",0.586608681444179,108.353951839255,116,105.106235793489,174,64.4080924397131,326,"22.6-8.4","13.6-6.4",-2.10957900293574,87,2023-02-24
"131",131,"Middle Tennessee","CUSA","17-11",0.582666724750563,106.659466857191,142,103.608687808699,142,67.505413325665,178,"18.3-12.7","11.3-8.7",-4.35547711826163,130,2023-02-24
"132",132,"Southern Illinois","MVC","21-9",0.581824772266012,102.180726858157,239,99.2879340458434,68,64.018547464287,335,"21.7-9.3","13.7-6.3",-2.7064741781463,100,2023-02-24
"133",133,"UMass Lowell","AE","23-7",0.575469865881007,107.112157586585,133,104.315918894948,150,69.1619298473959,107,"23.9-7.1","10.9-5.1",-3.40607565704308,112,2023-02-24
"134",134,"Towson","CAA","19-11",0.570558499335252,108.943856102123,103,106.285162698194,203,64.6021789867874,322,"19.4-11.6","11.4-6.6",-5.56519197215877,151,2023-02-24
"135",135,"Fresno St.","MWC","10-18",0.570098042872052,101.855863704522,246,99.3863850088458,69,64.0580449930031,334,"11-19","6.1-11.9",-8.67924339939962,213,2023-02-24
"136",136,"Youngstown St.","Horz","22-8",0.568959849509446,112.542580255931,47,109.858344725471,283,68.4217661831195,140,"22.9-8.1","14.9-5.1",-4.38650103914353,131,2023-02-24
"137",137,"Long Beach St.","BW","15-14",0.565597754189357,106.132110162796,151,103.724231062871,143,73.6794688931801,1,"17.2-14.8","11.2-8.8",-6.90570948634354,175,2023-02-24
"138",138,"Georgia","SEC","16-12",0.563501537561784,105.852449375289,155,103.527650112307,141,68.1828033300487,154,"17.3-13.7","7.3-10.7",-2.38644134145474,94,2023-02-24
"139",139,"Cal Baptist","WAC","15-13",0.562042984557605,104.723314036706,178,102.476121001963,120,64.2079730906789,330,"16.4-14.6","7.4-9.6",-8.03718915570205,195,2023-02-24
"140",140,"Davidson","A10","13-14",0.561527579981212,107.809879921634,124,105.515661659506,184,65.9840658731966,271,"14.5-15.5","7.5-10.5",-7.40075238179926,184,2023-02-24
"141",141,"Grand Canyon","WAC","18-11",0.560822049229732,109.462319537058,95,107.159630495312,223,65.1659981680253,303,"18.7-12.3","8.7-8.3",-5.127908386008,144,2023-02-24
"142",142,"Air Force","MWC","14-16",0.559306450553137,107.062620124062,134,104.866488440151,167,63.3479639194394,347,"14.5-16.5","5.5-12.5",-7.39984745385343,183,2023-02-24
"143",143,"Cornell","Ivy","16-9",0.554354406163144,113.390938610054,39,111.258975296688,304,71.6791753810292,23,"17.1-9.9","7.1-6.9",-4.24077827190615,128,2023-02-24
"144",144,"Ball St.","MAC","20-8",0.553318145491075,108.702351316205,105,106.697444152451,209,67.3397856818538,191,"21.4-9.6","12.4-5.6",-3.12350674586858,106,2023-02-24
"145",145,"Seattle","WAC","19-10",0.546103916235592,100.678888438358,275,99.0727376078549,65,69.3199222184332,98,"20.2-10.8","11.2-6.8",-3.48655716212732,115,2023-02-24
"146",146,"Longwood","BSth","20-10",0.543591182649918,104.600935434406,183,103.022947355986,132,66.145529057288,262,"20.7-10.3","12.7-5.3",-5.7833644130973,154,2023-02-24
"147",147,"Notre Dame","ACC","10-18",0.543546619746872,110.07448398233,84,108.415616383915,247,64.7351848279685,315,"10.7-20.3","2.7-17.3",-10.4290650244177,249,2023-02-24
"148",148,"Wyoming","MWC","8-20",0.543416164536837,108.18886693856,120,106.563288483532,207,65.7955968475255,276,"8.4-21.6","3.4-14.6",-10.6388392385317,250,2023-02-24
"149",149,"Appalachian St.","SB","16-15",0.54320202081513,102.291274777495,233,100.761871541596,88,65.4429328786347,293,"16.4-15.6","9-9",-9.09510955084371,225,2023-02-24
"150",150,"Montana","BSky","14-13",0.54104676841121,108.691741377058,106,107.147509113386,222,63.7285927637825,342,"16.3-13.7","10.3-7.7",-6.83867086534195,174,2023-02-24
"151",151,"Ohio","MAC","17-11",0.540942103113417,110.829341446893,73,109.258743786726,268,68.2683351729723,149,"18.7-12.3","10.7-7.3",-5.33983813195076,149,2023-02-24
"152",152,"UC Davis","BW","16-12",0.540099257177537,106.261386623015,149,104.786441023741,164,70.8797438389969,35,"17.9-13.1","10.9-8.1",-6.53699929140764,165,2023-02-24
