"team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"Houston","Amer",0.770323,70,116.206,21,104.599,191,67.2522,260,-1.2427644432898,8,0.35169999999999996,0.35169999999999996,19,0.5401,0.5401,,2016
"Northwestern","B10",0.76184,71,109.792,77,99.233,92,64.4562,338,-1.9712458863899,12,0.35219999999999996,0.35219999999999996,24,0.5639000000000001,0.5639000000000001,,2016
"Arkansas","SEC",0.760168,72,109.501,82,99.0496,85,70.963,85,-4.6542908875348,16,0.5287000000000001,0.5287000000000001,26,0.6657,0.6657,,2016
"Marquette","BE",0.760093,73,108.873,91,98.4853,75,71.2791,70,-0.97896980508234,12,0.3859,0.3859,28,0.6168,0.6168,,2016
"North Carolina St.","ACC",0.756116,74,113.574,34,102.932,162,68.499,194,-4.0168874446968,11,0.4949,0.4949,30,0.6942999999999999,0.6942999999999999,,2016
"Mississippi","SEC",0.755618,75,111.002,61,100.624,119,69.4043,146,-1.43373576597,16,0.46090000000000003,0.46090000000000003,25,0.6226,0.6226,,2016
"Tulsa","Amer",0.748562,76,109.488,83,99.5786,100,69.3273,148,-1.1912851617973,17,0.5558000000000001,0.5558000000000001,23,0.6296,0.6296,11,2016
"Memphis","Amer",0.746363,77,105.902,132,96.4151,44,74.3383,11,-5.6182153129265,12,0.4187,0.4187,20,0.5574,0.5574,,2016
"Mississippi St.","SEC",0.744833,78,108.729,94,99.0581,86,70.1944,111,-6.2407985930709,14,0.42950000000000005,0.42950000000000005,26,0.6374,0.6374,,2016
"Rhode Island","A10",0.740329,79,107.642,109,98.2693,73,65.6268,324,-5.9032506522247,16,0.5353,0.5353,20,0.5883999999999999,0.5883999999999999,,2016
"Alabama","SEC",0.738689,80,105.411,149,96.3031,41,65.689,320,-0.64894459326505,27,0.587,0.587,33,0.7031,0.7031,,2016
"South Dakota St.","Sum",0.736977,81,110.523,64,101.052,129,69.1391,162,-1.1954967914052,16,0.5336000000000001,0.5336000000000001,13,0.497,0.497,12,2016
"Ohio St.","B10",0.735021,82,105.619,139,96.6522,47,68.5153,192,-1.1045785895609,19,0.4726,0.4726,28,0.6273,0.6273,,2016
"Temple","Amer",0.731814,83,106.318,126,97.4308,58,66.4933,297,-0.12629033833747,28,0.5727000000000001,0.5727000000000001,26,0.6278,0.6278,10,2016
"UC Irvine","BW",0.731655,84,105.539,142,96.7234,50,68.0629,226,-0.81988001112819,25,0.5758000000000001,0.5758000000000001,19,0.5454,0.5454,,2016
"Oklahoma St.","B12",0.729783,85,105.728,135,96.9772,52,65.0408,334,-6.7385840643859,11,0.4467,0.4467,32,0.6911999999999999,0.6911999999999999,,2016
"Evansville","MVC",0.72157,86,105.741,134,97.3379,57,69.519,138,-1.4494301500925,14,0.43610000000000004,0.43610000000000004,16,0.4918,0.4918,,2016
"UC Santa Barbara","BW",0.719494,87,106.308,127,97.9477,63,67.6083,249,-4.8030728139983,26,0.6781999999999999,0.6781999999999999,19,0.5770000000000001,0.5770000000000001,,2016
"William & Mary","CAA",0.719182,88,112.377,45,103.553,171,69.1622,161,-3.7742165808923,23,0.5309,0.5309,18,0.5498000000000001,0.5498000000000001,,2016
"Boise St.","MWC",0.718972,89,108.151,100,99.6681,102,70.2435,108,-3.6477903922904,26,0.5751000000000001,0.5751000000000001,20,0.5773,0.5773,,2016
"Akron","MAC",0.718687,90,109.01,88,100.472,116,68.2575,210,-1.3688154832797,19,0.4597,0.4597,15,0.48400000000000004,0.48400000000000004,,2016
"UNC Wilmington","CAA",0.718592,91,109.512,81,100.939,127,71.3039,65,-0.72564958586323,11,0.40440000000000004,0.40440000000000004,15,0.5237,0.5237,13,2016
"St. Bonaventure","A10",0.717333,92,113.157,38,104.355,186,68.8729,173,-0.12524283022291,13,0.4406,0.4406,18,0.5629000000000001,0.5629000000000001,,2016
"Tennessee","SEC",0.715373,93,110.535,63,102.022,137,69.954,119,-5.8353720251468,22,0.5670000000000001,0.5670000000000001,29,0.6874999999999999,0.6874999999999999,,2016
"Richmond","A10",0.713556,94,112.628,43,104.035,180,69.1636,159,-5.4983389190681,25,0.5784,0.5784,24,0.6276,0.6276,,2016
"Nebraska","B10",0.713275,95,108.965,89,100.664,120,68.1354,222,-5.5245105716587,22,0.4439,0.4439,29,0.6069,0.6069,,2016
"Arizona St.","P12",0.713069,96,108.262,97,100.023,110,68.8897,172,-4.1745237205973,24,0.6253,0.6253,30,0.7149,0.7149,,2016
"Long Beach St.","BW",0.711006,97,107.964,106,99.8345,105,70.8447,88,-3.0440277497506,40,0.8022,0.8022,26,0.6419,0.6419,,2016
"Cal St. Bakersfield","WAC",0.710613,98,103.429,171,95.657,34,68.3719,203,-3.5168324700433,16,0.45,0.45,12,0.3861,0.3861,15,2016
"Oakland","Horz",0.705344,99,114.626,27,106.248,219,74.4429,9,-3.4022417176561,25,0.5182,0.5182,17,0.4842,0.4842,,2016
"Monmouth","MAAC",0.701614,100,105.677,137,98.1051,70,73.6145,16,-0.21746107809642,26,0.6201,0.6201,14,0.4597,0.4597,,2016
"Old Dominion","CUSA",0.70119,101,105.466,145,97.9264,62,62.1311,349,-6.4738774282903,21,0.5121,0.5121,13,0.4487,0.4487,,2016
