"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"203","Georgia Southern","SB",0.438443,203,101.812,243,104.026,160,65.7512,253,-8.7264228510395,9,0.3234,0.3234,12,0.4215,0.4025,NA,2023
"204","Georgia Tech","ACC",0.436221,204,101.189,258,103.472,147,66.3353,225,-7.8979328404374,15,0.3908,0.4299,21,0.577,0.5903,NA,2023
"205","Milwaukee","Horz",0.435592,205,102.119,232,104.446,168,71.4865,22,-3.1241125410557,17,0.3715,0.3715,11,0.3589,0.3645,NA,2023
"206","Navy","Pat",0.435228,206,104.84,180,107.242,228,64.7297,299,-7.2503875938672,14,0.4257,0.4257,9,0.3613,0.3663,NA,2023
"207","Bryant","AE",0.424908,207,105.967,159,108.793,267,72.8596,6,-3.681428226521,17,0.4555,0.4555,12,0.399,0.4002,NA,2023
"208","San Diego","WCC",0.42434,208,111.687,50,114.689,346,68.55,112,-8.7647311227482,9,0.3917,0.3917,18,0.5303,0.4833,NA,2023
"209","Texas St.","SB",0.423869,209,100.702,276,103.426,145,63.8303,325,-9.0585290361594,10,0.3697,0.3697,12,0.4497,0.4541,NA,2023
"210","Norfolk St.","MEAC",0.423066,210,108.54,107,111.507,307,65.1262,287,-2.8152595932665,19,0.353,0.353,12,0.3026,0.3149,NA,2023
"211","New Mexico St.","WAC",0.421827,211,105.06,176,107.98,242,68.8328,95,-8.1856344291598,18,0.4642,0.4642,16,0.5201,0.5207,NA,2023
"212","Northwestern St.","Slnd",0.420869,212,104.799,181,107.749,236,66.3157,230,-3.2328598422508,23,0.5184,0.5184,12,0.3476,0.3835,NA,2023
"213","St. Thomas","Sum",0.420484,213,108.596,105,111.668,313,65.4585,271,-5.5226568255371,16,0.3906,0.3906,11,0.3658,0.3632,NA,2023
"214","Florida Gulf Coast","ASun",0.419023,214,105.232,172,108.266,250,65.6286,261,-5.6162502753405,20,0.4957,0.4957,14,0.4329,0.4399,NA,2023
"215","UMBC","AE",0.418114,215,109.245,94,112.431,326,67.5934,153,-5.9867065004974,11,0.3499,0.3499,9,0.3519,0.3636,NA,2023
"216","SIU Edwardsville","OVC",0.416308,216,100.639,277,103.64,151,68.6841,105,-5.7830303872291,11,0.3708,0.3708,7,0.3027,0.3231,NA,2023
"217","East Carolina","Amer",0.415473,217,102.496,227,105.585,193,67.1667,180,-6.8465867076389,7,0.3307,0.3307,18,0.529,0.4748,NA,2023
"218","Detroit","Horz",0.411845,218,110.411,71,113.886,339,67.2819,173,-9.9166564366388,20,0.5342,0.5342,12,0.4185,0.448,NA,2023
"219","Rhode Island","A10",0.410029,219,100.508,280,103.739,154,67.2995,172,-9.4875008668105,13,0.4954,0.4954,13,0.5165,0.5108,NA,2023
"220","UNC Asheville","BSth",0.409912,220,101.629,250,104.9,177,67.8201,139,-2.9937956976487,15,0.3992,0.3992,10,0.3699,0.3638,NA,2023
"221","Oregon St.","P12",0.40421,221,99.47,290,102.883,133,63.2363,339,-6.8580750085981,14,0.3945,0.3945,25,0.617,0.5943,NA,2023
"222","Delaware","CAA",0.40316,222,103.393,203,106.981,220,66.7481,200,-8.1364060570657,14,0.464,0.464,12,0.4307,0.4455,NA,2023
"223","Pepperdine","WCC",0.397994,223,102.761,219,106.526,207,72.2766,10,-10.096335326662,17,0.489,0.489,20,0.5794,0.5472,NA,2023
"224","North Carolina Central","MEAC",0.391784,224,101.442,253,105.396,189,67.2418,178,-6.7689366854731,19,0.4335,0.4335,12,0.3414,0.3769,NA,2023
"225","Queens","ASun",0.391096,225,108.142,112,112.386,325,69.1918,80,-5.6909023734227,8,0.3187,0.3187,10,0.3907,0.3472,NA,2023
"226","Loyola Chicago","A10",0.386276,226,103.372,206,107.619,231,65.4134,274,-8.8556336892317,14,0.4421,0.4421,15,0.5158,0.5108,NA,2023
"227","Morehead St.","OVC",0.385197,227,102.242,231,106.485,206,64.4303,313,-5.0086592768319,17,0.3903,0.3903,10,0.3129,0.3367,NA,2023
"228","La Salle","A10",0.37978,228,102.101,234,106.55,208,67.7491,144,-8.0220403181272,15,0.4726,0.4726,14,0.5042,0.4904,NA,2023
