"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"345","New Orleans","Slnd",0.130919,345,97.0147,326,114.372,341,70.5204,32,-12.448103168808,19,0.4322,0.4322,10,0.323,0.3362,NA,2023
"346","Coppin St.","MEAC",0.129616,346,98.5858,303,116.341,352,73.0531,5,-12.13893301034,22,0.574,0.574,14,0.4442,0.4845,NA,2023
"347","Bethune Cookman","SWAC",0.128906,347,96.9229,327,114.441,343,68.9894,87,-10.367292504393,16,0.3948,0.3948,9,0.3005,0.3292,NA,2023
"348","Albany","AE",0.128715,348,98.7469,300,116.612,355,67.0035,189,-14.019718483789,16,0.4433,0.4433,12,0.4157,0.4271,NA,2023
"349","Houston Christian","Slnd",0.128412,349,102.74,221,121.356,363,70.5267,31,-13.367201958159,16,0.3905,0.3905,9,0.3127,0.3316,NA,2023
"350","Hampton","CAA",0.126402,350,97.5928,319,115.458,349,68.3192,122,-13.853136963643,12,0.4178,0.4178,11,0.4079,0.3964,NA,2023
"351","Alabama St.","SWAC",0.116888,351,93.6357,352,111.638,311,67.1272,181,-12.186444446181,23,0.5486,0.5486,12,0.3594,0.4013,NA,2023
"352","Eastern Illinois","OVC",0.115448,352,94.0062,350,112.216,319,67.8164,140,-14.393351108226,14,0.3685,0.3685,9,0.321,0.3238,NA,2023
"353","Florida A&M","SWAC",0.107424,353,90.6754,360,109.006,272,64.365,314,-10.900549272184,30,0.583,0.583,14,0.3669,0.4171,NA,2023
"354","Evansville","MVC",0.10648,354,92.9043,354,111.781,315,69.2836,72,-15.752908481553,13,0.4526,0.4526,13,0.4829,0.4907,NA,2023
"355","Monmouth","CAA",0.105344,355,90.744,359,109.296,275,67.9013,135,-13.688730626732,23,0.6205,0.6205,15,0.4835,0.5416,NA,2023
"356","Delaware St.","MEAC",0.10342,356,93.1218,353,112.361,323,66.5705,215,-12.303790406722,21,0.4595,0.4787,13,0.3824,0.4125,NA,2023
"357","St. Francis NY","NEC",0.0941886,357,91.5539,357,111.47,303,65.8401,249,-9.6144715556326,10,0.3037,0.3037,6,0.2335,0.2375,NA,2023
"358","Lamar","Slnd",0.0938033,358,95.3718,341,116.164,351,66.1376,239,-13.89132074848,12,0.3675,0.3675,8,0.3053,0.3216,NA,2023
"359","Mississippi Valley St.","SWAC",0.0810837,359,91.4688,358,112.968,330,66.695,204,-14.757044451391,29,0.6618,0.6618,15,0.4112,0.4774,NA,2023
"360","IUPUI","Horz",0.0747018,360,94.0435,349,117.049,356,66.7495,199,-17.58250642334,11,0.2949,0.2949,9,0.3553,0.3342,NA,2023
"361","Green Bay","Horz",0.0535145,361,92.0262,355,118.141,361,65.1433,285,-17.392959775918,17,0.5355,0.5355,11,0.4421,0.4521,NA,2023
"362","Hartford","ind",0.0488164,362,89.9093,361,116.4,354,65.525,267,-16.574416463488,6,0.2889,0.2887,6,0.2874,0.2855,NA,2023
"363","LIU Brooklyn","NEC",0.0380777,363,87.8961,363,116.392,353,72.0486,13,-15.875804706393,23,0.4935,0.4935,11,0.3165,0.3427,NA,2023
