"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"SWAC at ACC","Louisville -10.3, 72-62 (85%)",38.83163942627671,"nc","Southern",0.14692804709454851,62.07465416083943,"Louisville",0.8530719529054515,72.3333767335817,"SouthernLouisville11-9",2022
2021-11-09,"SC at ACC","Pittsburgh -6.2, 71-65 (74%)",38.73234414573114,"nc","The Citadel",0.26005994984999,65.05623793190833,"Pittsburgh",0.73994005015001,71.24885789378959,"The CitadelPittsburgh11-9",2022
2021-11-09,"WAC at P12","Stanford -7.5, 66-58 (80%)",38.69242278500365,"nc","Tarleton St.",0.1970741304222885,58.01187268051097,"Stanford",0.8029258695777115,65.54874012547646,"Tarleton St.Stanford11-9",2022
2021-11-09,"MAAC at BE","Xavier -14.6, 74-60 (92%)",38.18929484559781,"nc","Niagara",0.07544581055299213,59.84781609355889,"Xavier",0.9245541894470078,74.41883208190566,"NiagaraXavier11-9",2022
2021-11-09,"OVC at SEC","Tennessee -27.5, 83-55 (99%)",38.13644740892566,"nc","Tennessee Martin",0.00953272060301125,55.3651218630533,"Tennessee",0.9904672793969888,82.90768816748792,"Tennessee MartinTennessee11-9",2022
2021-11-09,"MAAC at B10","Maryland -14.5, 80-66 (91%)",36.52538233843868,"nc","Quinnipiac",0.09309772707977206,66.03768124742255,"Maryland",0.906902272920228,80.49314475258923,"QuinnipiacMaryland11-9",2022
2021-11-09,"SB at SEC","LSU -20.6, 80-60 (97%)",36.49511431605783,"nc","Louisiana Monroe",0.03172223587860758,59.64002694281139,"LSU",0.9682777641213924,80.28540975657874,"Louisiana MonroeLSU11-9",2022
2021-11-09,"Pat at A10","Rhode Island -8.4, 70-62 (81%)",36.35070431365455,"nc","Boston University",0.1884502813887863,61.71299029030872,"Rhode Island",0.8115497186112137,70.0676119198988,"Boston UniversityRhode Island11-9",2022
2021-11-09,"Sum at WAC","St. Thomas -1.4, 74-72 (55%)",36.23677155334513,"nc","St. Thomas",0.5533982627909053,73.55298800772471,"Chicago St.",0.4466017372090947,72.19434098724003,"St. ThomasChicago St.11-9",2022
2021-11-09,"Pat at ACC","North Carolina -24.5, 82-57 (98%)",36.18891703256134,"nc","Loyola MD",0.01632764013851612,57.27294198186887,"North Carolina",0.9836723598614838,81.79481180149638,"Loyola MDNorth Carolina11-9",2022
2021-11-09,"MAAC at BE","Providence -15.5, 72-57 (94%)",36.18104158049744,"nc","Fairfield",0.0580586693457971,56.53195670562628,"Providence",0.9419413306542028,72.03192840065485,"FairfieldProvidence11-9",2022
2021-11-09,"SB at B12","Oklahoma St. -16.0, 69-53 (95%)",35.92415471484261,"nc","UT Arlington",0.04687464198209072,53.38985224694924,"Oklahoma St.",0.9531253580179092,69.37712353197803,"UT ArlingtonOklahoma St.11-9",2022
2021-11-09,"BSth at SEC","South Carolina -13.5, 79-65 (90%)",35.78973227676184,"nc","USC Upstate",0.1034840732841559,65.4745030497454,"South Carolina",0.8965159267158441,78.99688980016099,"USC UpstateSouth Carolina11-9",2022
2021-11-09,"CAA at Pat","Colgate -9.2, 71-61 (83%)",35.75667739825184,"nc","Northeastern",0.16776885622354767,61.47361212385186,"Colgate",0.8322311437764524,70.65938122993664,"NortheasternColgate11-9",2022
2021-11-09,"AE at A10","George Mason -10.7, 76-65 (85%)",35.1891855896894,"nc","Stony Brook",0.14843562376063232,65.4282988972703,"George Mason",0.8515643762393676,76.16189579590645,"Stony BrookGeorge Mason11-9",2022
