"","date","tv","opponent","arena","location","time","team"
"4306",2023-02-04,"ESPN3","New Hampshire","Chace Athletic Center","Home","13:00","Bryant"
"4307",2023-02-09,"ESPN+","Albany","SEFCU Arena","Away","19:00","Bryant"
"4308",2023-02-11,NA,"UMBC","Chesapeake Employers Insurance Arena","Away","00:00","Bryant"
"4309",2023-02-16,"ESPN+","UMass Lowell","Chace Athletic Center","Home","19:00","Bryant"
"4310",2023-02-23,"ESPN+","NJIT","NJIT Wellness and Events Center","Away","19:00","Bryant"
"4311",2023-02-26,"ESPN+","Vermont","Chace Athletic Center","Home","19:00","Bryant"
"4312",2023-03-01,"ESPN+","Maine","Cross Insurance Center","Away","19:00","Bryant"
"4313",2022-11-08,"ESPN+","Lebanon Valley","Sojka Pavilion","Home","19:00","Bucknell"
"4314",2022-11-12,"ESPN+","Niagara","Sojka Pavilion","Home","16:00","Bucknell"
"4315",2022-11-16,"ESPN+","Saint Peter's","Yanitelli Center","Away","19:00","Bucknell"
"4316",2022-11-19,"SECN","Georgia","Stegeman Coliseum","Away","19:00","Bucknell"
"4317",2022-11-21,NA,"Presbyterian","Ocean Center","Neutral","14:00","Bucknell"
"4318",2022-11-26,"ESPN+","Marist","Sojka Pavilion","Home","14:00","Bucknell"
"4319",2022-12-01,"ESPN+","St. Francis PA","Sojka Pavilion","Home","19:00","Bucknell"
"4320",2022-12-03,"ESPN3","NJIT","NJIT Wellness and Events Center","Away","14:00","Bucknell"
"4321",2022-12-07,"ESPN+","La Salle","Tom Gola Arena","Away","19:00","Bucknell"
"4322",2022-12-18,NA,"Merrimack","Sojka Pavilion","Home","14:00","Bucknell"
"4323",2022-12-22,"ESPN+","Richmond","Robins Center","Away","19:00","Bucknell"
"4324",2022-12-23,NA,"Rutgers","Jersey Mike’s Arena","Away","17:00","Bucknell"
"4325",2022-12-30,NA,"Holy Cross","Hart Center","Away","00:00","Bucknell"
"4326",2023-01-02,NA,"Boston University","Sojka Pavilion","Home","14:00","Bucknell"
"4327",2023-01-06,NA,"Lehigh","Sojka Pavilion","Home","19:00","Bucknell"
"4328",2023-01-08,NA,"Lafayette","Kirby Sports Center","Away","13:00","Bucknell"
"4329",2023-01-12,NA,"Loyola Maryland","Sojka Pavilion","Home","19:00","Bucknell"
"4330",2023-01-14,NA,"Colgate","Cotterell Court","Away","14:00","Bucknell"
"4331",2023-01-18,NA,"Army","Christl Arena","Away","18:00","Bucknell"
"4332",2023-01-21,NA,"Holy Cross","Sojka Pavilion","Home","14:00","Bucknell"
"4333",2023-01-26,NA,"Navy","Sojka Pavilion","Home","19:00","Bucknell"
"4334",2023-01-28,NA,"Loyola Maryland","Reitz Arena","Away","13:00","Bucknell"
"4335",2023-02-02,NA,"American","Bender Arena","Away","19:00","Bucknell"
"4336",2023-02-05,NA,"Army","Sojka Pavilion","Home","19:00","Bucknell"
"4337",2023-02-09,NA,"Navy","Alumni Hall (Navy)","Away","19:00","Bucknell"
"4338",2023-02-11,NA,"Colgate","Sojka Pavilion","Home","12:00","Bucknell"
"4339",2023-02-14,NA,"American","Sojka Pavilion","Home","19:00","Bucknell"
"4340",2023-02-18,NA,"Boston University","Case Gym","Away","13:00","Bucknell"
"4341",2023-02-23,NA,"Lehigh","Stabler Arena","Away","19:00","Bucknell"
"4342",2023-02-25,NA,"Lafayette","Sojka Pavilion","Home","14:00","Bucknell"
"4343",2022-11-07,NA,"New Orleans","Hinkle Fieldhouse","Home","18:43","Butler"
"4344",2022-11-15,"FS1","Penn St.","Bryce Jordan Center","Away","20:30","Butler"
"4345",2022-11-17,"FS2","St. Francis PA","Hinkle Fieldhouse","Home","18:30","Butler"
"4346",2022-11-20,"FS2","The Citadel","Hinkle Fieldhouse","Home","19:00","Butler"
"4347",2022-11-24,"ESPN2","Tennessee","Imperial Arena","Neutral","19:30","Butler"
"4348",2022-11-30,NA,"Kansas St.","Hinkle Fieldhouse","Home","18:30","Butler"
"4349",2022-12-03,NA,"Tennessee Tech","Hinkle Fieldhouse","Home","14:00","Butler"
"4350",2022-12-06,NA,"Yale","Hinkle Fieldhouse","Home","18:30","Butler"
"4351",2022-12-10,NA,"California","Haas Pavilion","Away","17:00","Butler"
"4352",2022-12-18,NA,"Connecticut","Hinkle Fieldhouse","Home","19:00","Butler"
"4353",2022-12-23,NA,"Creighton","CHI Health Center Omaha","Away","20:00","Butler"
"4354",2022-12-29,NA,"Providence","Hinkle Fieldhouse","Home","18:30","Butler"
"4355",2023-01-01,NA,"Georgetown","Capital One Arena","Away","18:30","Butler"
"4356",2023-01-05,NA,"DePaul","Hinkle Fieldhouse","Home","21:00","Butler"
"4357",2023-01-08,NA,"Seton Hall","Prudential Center","Away","20:30","Butler"
"4358",2023-01-10,NA,"St. John's","Carnesecca Arena","Away","18:30","Butler"
"4359",2023-01-14,NA,"Villanova","Hinkle Fieldhouse","Home","19:00","Butler"
"4360",2023-01-18,NA,"Creighton","Hinkle Fieldhouse","Home","19:00","Butler"
"4361",2023-01-22,NA,"Connecticut","XL Center","Away","12:00","Butler"
"4362",2023-01-26,NA,"Providence","Amica Mutual Pavilion","Away","20:30","Butler"
"4363",2023-01-28,NA,"Seton Hall","Hinkle Fieldhouse","Home","16:00","Butler"
"4364",2023-02-04,NA,"Marquette","Fiserv Forum","Away","14:00","Butler"
"4365",2023-02-08,NA,"St. John's","Hinkle Fieldhouse","Home","20:30","Butler"
"4366",2023-02-11,NA,"Xavier","Hinkle Fieldhouse","Home","19:00","Butler"
"4367",2023-02-15,NA,"Villanova","Finneran Pavilion","Away","20:00","Butler"
"4368",2023-02-19,NA,"Georgetown","Hinkle Fieldhouse","Home","15:00","Butler"
"4369",2023-02-23,NA,"DePaul","Wintrust Arena","Away","20:30","Butler"
"4370",2023-02-28,NA,"Marquette","Hinkle Fieldhouse","Home","18:30","Butler"
"4371",2023-03-04,NA,"Xavier","Cintas Center","Away","00:00","Butler"
"4372",2022-11-08,"ESPN+","Bethesda University","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4373",2022-11-11,NA,"San Francisco","War Memorial at the Sobrato Center","Away","22:00","Cal Poly"
"4374",2022-11-19,NA,"Stanford","Maples Pavilion","Away","23:00","Cal Poly"
"4375",2022-11-21,"ESPN+","Mount St. Mary's","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4376",2022-11-24,"ESPN+","Idaho","Robert A. Mott Athletics Center","Home","19:00","Cal Poly"
"4377",2022-11-29,NA,"Pacific","Alex G. Spanos Center","Away","22:00","Cal Poly"
"4378",2022-12-01,NA,"Pepperdine","Firestone Fieldhouse","Away","22:00","Cal Poly"
"4379",2022-12-04,"ESPN+","Cal Baptist","Robert A. Mott Athletics Center","Home","21:00","Cal Poly"
"4380",2022-12-11,"ESPN+","Portland St.","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4381",2022-12-14,NA,"Washington","Alaska Airlines Arena","Away","22:30","Cal Poly"
"4382",2022-12-17,"ESPN+","Weber St.","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4383",2022-12-21,NA,"San Jose St.","Provident Credit Union Event Center","Away","22:00","Cal Poly"
"4384",2022-12-30,"ESPN+","Cal State Northridge","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4385",2023-01-01,"ESPN+","Hawaii","Stan Sheriff Center","Away","22:00","Cal Poly"
"4386",2023-01-06,"ESPN+","Cal State Bakersfield","Icardo Center","Away","22:00","Cal Poly"
"4387",2023-01-08,"ESPN+","UC Santa Barbara","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4388",2023-01-12,"ESPN+","Long Beach St.","Walter Pyramid","Away","22:00","Cal Poly"
"4389",2023-01-17,"ESPN+","UC Riverside","SRC Arena","Away","20:00","Cal Poly"
"4390",2023-01-20,"ESPN+","UC San Diego","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4391",2023-01-21,"ESPN+","UC Davis","University Credit Union Center","Away","18:00","Cal Poly"
"4392",2023-01-27,"ESPN+","Long Beach St.","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4393",2023-01-29,"ESPN+","Cal State Fullerton","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4394",2023-02-03,NA,"UC Santa Barbara","The Thunderdome","Away","22:00","Cal Poly"
"4395",2023-02-05,"ESPN+","Hawaii","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4396",2023-02-10,"ESPN+","UC Irvine","Bren Events Center","Away","22:00","Cal Poly"
"4397",2023-02-12,"ESPN+","Cal State Northridge","Premier America Credit Union Arena","Away","22:00","Cal Poly"
"4398",2023-02-16,"ESPN+","Cal State Bakersfield","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4399",2023-02-19,NA,"Cal State Fullerton","Titan Gym","Away","19:00","Cal Poly"
"4400",2023-02-21,"ESPN+","UC Irvine","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4401",2023-02-26,"ESPN+","UC Davis","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4402",2023-03-03,"ESPN+","UC San Diego","RIMAC Arena","Away","22:00","Cal Poly"
"4403",2023-03-05,"ESPN+","UC Riverside","Robert A. Mott Athletics Center","Home","22:00","Cal Poly"
"4404",2022-11-08,"ESPN+","St. Augustine","John W. Pope Jr. Convocation Center","Home","20:00","Campbell"
"4405",2022-11-12,"ESPN+","North Carolina St.","PNC Arena","Away","19:00","Campbell"
"4406",2022-11-12,"ACCNX","North Carolina St.","PNC Arena","Away","19:00","Campbell"
"4407",2022-11-19,"ESPN+","Appalachian St.","Holmes Convocation Center","Away","19:00","Campbell"
"4408",2022-11-19,NA,"Southeastern Louisiana","Holmes Convocation Center","Neutral","16:00","Campbell"
"4409",2022-11-20,NA,"Kennesaw St.","Holmes Convocation Center","Neutral","12:00","Campbell"
"4410",2022-11-23,"ESPN+","Jacksonville","John W. Pope Jr. Convocation Center","Home","16:00","Campbell"
"4411",2022-11-27,"ESPN+","Stetson","John W. Pope Jr. Convocation Center","Home","13:00","Campbell"
"4412",2022-12-03,"ESPN+","East Carolina","Williams Arena at Minges Coliseum","Away","19:00","Campbell"
"4413",2022-12-08,"ESPN+","Evansville","Ford Center","Away","20:00","Campbell"
"4414",2022-12-14,"ESPN+","William Peace","John W. Pope Jr. Convocation Center","Home","18:00","Campbell"
"4415",2022-12-17,"ESPN+","Georgia Southern","W.S. Hanner Fieldhouse","Away","15:00","Campbell"
"4416",2022-12-21,"ESPN+","UNC Wilmington","John W. Pope Jr. Convocation Center","Home","14:00","Campbell"
"4417",2022-12-30,"ESPN+","Presbyterian","Ross E. Templeton P.E. Center","Away","19:00","Campbell"
"4418",2022-12-31,"ESPN+","Longwood","John W. Pope Jr. Convocation Center","Home","14:00","Campbell"
"4419",2023-01-05,"ESPN+","Gardner Webb","John W. Pope Jr. Convocation Center","Home","19:00","Campbell"
"4420",2023-01-07,"ESPN+","UNC Asheville","Kimmel Arena","Away","14:00","Campbell"
"4421",2023-01-12,"ESPN+","USC Upstate","G.B. Hodge Center","Away","19:00","Campbell"
"4422",2023-01-14,"ESPN+","Winthrop","John W. Pope Jr. Convocation Center","Home","14:00","Campbell"
"4423",2023-01-19,"ESPN+","Radford","John W. Pope Jr. Convocation Center","Home","19:00","Campbell"
"4424",2023-01-21,"ESPN+","Charleston Southern","Buccaneer Fieldhouse","Away","17:30","Campbell"
"4425",2023-01-26,"ESPN+","High Point","Nido and Mariana Qubein Arena","Away","19:00","Campbell"
"4426",2023-01-28,"ESPN+","UNC Asheville","John W. Pope Jr. Convocation Center","Home","14:00","Campbell"
"4427",2023-02-02,"ESPN+","USC Upstate","John W. Pope Jr. Convocation Center","Home","19:00","Campbell"
"4428",2023-02-04,"ESPN+","Longwood","Willett Hall","Away","00:00","Campbell"
"4429",2023-02-09,"ESPN+","High Point","John W. Pope Jr. Convocation Center","Home","19:00","Campbell"
"4430",2023-02-11,"ESPN3","Gardner Webb","Paul Porter Arena","Away","14:00","Campbell"
"4431",2023-02-16,"ESPN+","Charleston Southern","John W. Pope Jr. Convocation Center","Home","19:00","Campbell"
"4432",2023-02-18,"ESPN+","Presbyterian","John W. Pope Jr. Convocation Center","Home","14:00","Campbell"
"4433",2023-02-23,"ESPN+","Winthrop","Winthrop Coliseum","Away","19:00","Campbell"
"4434",2023-02-25,"ESPN+","Radford","Donald N. Dedmon Center","Away","14:00","Campbell"
"4435",2022-11-08,"ESPN+","Wichita St.","Charles Koch Arena","Away","20:00","Central Arkansas"
"4436",2022-11-11,NA,"Hendrix College","Farris Center","Home","18:30","Central Arkansas"
"4437",2022-11-15,"ESPN+","Little Rock","Farris Center","Home","20:00","Central Arkansas"
"4438",2022-11-18,"ESPN3","Niagara","National Basketball Arena","Neutral","11:00","Central Arkansas"
"4439",2022-11-19,"ESPNU","Rider","National Basketball Arena","Neutral","06:00","Central Arkansas"
"4440",2022-11-19,"ESPN+","Rider","National Basketball Arena","Neutral","06:00","Central Arkansas"
"4441",2022-11-26,"ESPN+","Northwestern St.","Farris Center","Home","18:30","Central Arkansas"
"4442",2022-11-27,"ESPN+","Idaho St.","Farris Center","Home","16:30","Central Arkansas"
"4443",2022-12-01,"ESPN+","Loyola Chicago","Joseph J. Gentile Arena","Away","21:00","Central Arkansas"
"4444",2022-12-07,"ESPN+","Arkansas St.","Farris Center","Home","20:00","Central Arkansas"
"4445",2022-12-11,NA,"Oral Roberts","Mabee Center","Away","20:00","Central Arkansas"
"4446",2022-12-17,"ESPN+","Oklahoma","Lloyd Noble Center","Away","13:00","Central Arkansas"
"4447",2022-12-21,"ESPN+","Little Rock","Jack Stephens Center","Away","19:30","Central Arkansas"
"4448",2022-12-28,"ESPN+","TCU","Ed and Rae Schollmaier Arena","Away","17:00","Central Arkansas"
"4449",2022-12-31,"ESPN+","Kennesaw St.","KSU Convocation Center","Away","00:00","Central Arkansas"
"4450",2023-01-03,"ESPN+","Florida Gulf Coast","Farris Center","Home","20:30","Central Arkansas"
"4451",2023-01-06,"ESPN+","Eastern Kentucky","Farris Center","Home","20:00","Central Arkansas"
"4452",2023-01-07,"ESPN+","Austin Peay","Winfield Dunn Center","Away","17:30","Central Arkansas"
"4453",2023-01-13,"ESPN+","Queens University","Curry Arena","Away","19:00","Central Arkansas"
"4454",2023-01-15,"ESPN+","Liberty","Liberty Arena","Away","19:00","Central Arkansas"
"4455",2023-01-19,"ESPN+","North Alabama","Farris Center","Home","20:00","Central Arkansas"
"4456",2023-01-22,"ESPN+","North Alabama","Flowers Hall","Away","20:15","Central Arkansas"
"4457",2023-01-27,"ESPN+","North Florida","Farris Center","Home","20:00","Central Arkansas"
"4458",2023-01-28,"ESPN+","Jacksonville","Farris Center","Home","16:00","Central Arkansas"
"4459",2023-02-03,"ESPN+","Florida Gulf Coast","Alico Arena","Away","19:00","Central Arkansas"
"4460",2023-02-04,"ESPN+","Stetson","Edmunds Center","Away","14:00","Central Arkansas"
"4461",2023-02-10,"ESPN+","Lipscomb","Farris Center","Home","20:30","Central Arkansas"
"4462",2023-02-11,"ESPN+","Austin Peay","Farris Center","Home","16:00","Central Arkansas"
"4463",2023-02-17,"ESPN+","Eastern Kentucky","McBrayer Arena","Away","19:30","Central Arkansas"
"4464",2023-02-18,"ESPN+","Bellarmine","Freedom Hall","Away","16:00","Central Arkansas"
"4465",2023-02-23,"ESPN+","Jacksonville St.","Farris Center","Home","19:00","Central Arkansas"
"4466",2023-02-25,"ESPN+","Kennesaw St.","Farris Center","Home","19:00","Central Arkansas"
"4467",2022-11-08,"ESPN+","Massachusetts","William D. Mullins Memorial Center","Away","19:30","Central Connecticut"
"4468",2022-11-12,"ESPN3","Manhattan","Draddy Gymnasium","Away","19:00","Central Connecticut"
"4469",2022-11-13,NA,"Quinnipiac","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4470",2022-11-16,"FS2","St. John's","Carnesecca Arena","Away","19:00","Central Connecticut"
"4471",2022-11-19,"ESPN3","Lafayette","Chesapeake Employers Insurance Arena","Neutral","12:00","Central Connecticut"
"4472",2022-11-20,"ESPN+","UMBC","Chesapeake Employers Insurance Arena","Away","13:00","Central Connecticut"
"4473",2022-11-23,NA,"Maine","William H. Detrick Gymnasium","Home","15:30","Central Connecticut"
"4474",2022-11-26,NA,"Rutgers","Jersey Mike’s Arena","Away","15:00","Central Connecticut"
"4475",2022-11-30,NA,"Brown","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4476",2022-12-03,NA,"Holy Cross","Hart Center","Away","00:00","Central Connecticut"
"4477",2022-12-10,NA,"Dartmouth","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4478",2022-12-11,"ESPN+","Fordham","Rose Hill Gymnasium","Away","13:00","Central Connecticut"
"4479",2022-12-21,NA,"Army","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4480",2022-12-23,"ESPN+","Saint Joseph's","Michael J. Hagan '85 Arena","Away","19:00","Central Connecticut"
"4481",2022-12-30,NA,"St. Francis PA","DeGol Arena","Away","19:00","Central Connecticut"
"4482",2022-12-31,NA,"St. Francis Brooklyn","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4483",2023-01-06,NA,"LIU Brooklyn","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4484",2023-01-07,NA,"Stonehill","Merkert Gymnasium","Away","14:00","Central Connecticut"
"4485",2023-01-14,NA,"Fairleigh Dickinson","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4486",2023-01-21,NA,"Wagner","Spiro Sports Center","Away","19:00","Central Connecticut"
"4487",2023-01-22,NA,"LIU Brooklyn","Steinberg Wellness Center","Away","12:00","Central Connecticut"
"4488",2023-01-27,NA,"Merrimack","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4489",2023-01-28,NA,"St. Francis PA","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4490",2023-02-02,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","14:00","Central Connecticut"
"4491",2023-02-04,NA,"Sacred Heart","William H. Pitt Center","Away","14:00","Central Connecticut"
"4492",2023-02-09,NA,"Hartford","Chase Arena","Away","19:00","Central Connecticut"
"4493",2023-02-11,NA,"Fairleigh Dickinson","Stratis Arena at the Rothman Center","Away","17:00","Central Connecticut"
"4494",2023-02-17,NA,"Wagner","William H. Detrick Gymnasium","Home","19:00","Central Connecticut"
"4495",2023-02-18,NA,"Stonehill","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4496",2023-02-24,NA,"Merrimack","Hammel Court","Away","19:00","Central Connecticut"
"4497",2023-02-25,NA,"Sacred Heart","William H. Detrick Gymnasium","Home","13:00","Central Connecticut"
"4498",2022-11-08,"ESPN+","Toccoa Falls","Buccaneer Fieldhouse","Home","20:00","Charleston Southern"
"4499",2022-11-10,"BTN","Ohio St.","Value City Arena","Away","18:30","Charleston Southern"
"4500",2022-11-17,"ESPN+","Tulane","Avron B. Fogelman Arena in the Devlin Fieldhouse","Away","19:00","Charleston Southern"
"4501",2022-11-22,"ESPN+","Bethune Cookman","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4502",2022-11-26,"ACCN","Virginia Tech","Cassell Coliseum","Away","20:00","Charleston Southern"
"4503",2022-12-01,"ESPN+","The Citadel","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4504",2022-12-03,"ESPN+","South Florida","Yuengling Center","Away","19:00","Charleston Southern"
"4505",2022-12-06,"ESPN+","Kennesaw St.","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4506",2022-12-15,"ESPN+","Tennessee St.","Gentry Center","Away","20:00","Charleston Southern"
"4507",2022-12-17,"ESPN+","Jacksonville","Swisher Gymnasium","Away","16:00","Charleston Southern"
"4508",2022-12-22,"ESPN+","Kentucky Christian","Buccaneer Fieldhouse","Home","15:00","Charleston Southern"
"4509",2022-12-30,"ESPN+","Gardner Webb","Paul Porter Arena","Away","19:00","Charleston Southern"
"4510",2022-12-31,"ESPN+","USC Upstate","Buccaneer Fieldhouse","Home","15:00","Charleston Southern"
"4511",2023-01-05,"ESPN+","Longwood","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4512",2023-01-07,"ESPN+","Presbyterian","Ross E. Templeton P.E. Center","Away","14:00","Charleston Southern"
"4513",2023-01-12,"ESPN+","High Point","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4514",2023-01-14,"ESPN3","Radford","Donald N. Dedmon Center","Away","14:00","Charleston Southern"
"4515",2023-01-19,"ESPN+","UNC Asheville","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4516",2023-01-21,"ESPN+","Campbell","Buccaneer Fieldhouse","Home","17:30","Charleston Southern"
"4517",2023-01-26,"ESPN+","Winthrop","Winthrop Coliseum","Away","19:00","Charleston Southern"
"4518",2023-01-28,"ESPN+","Longwood","Willett Hall","Away","00:00","Charleston Southern"
"4519",2023-02-02,"ESPN+","Gardner Webb","Buccaneer Fieldhouse","Home","19:00","Charleston Southern"
"4520",2023-02-05,"ESPN+","High Point","Nido and Mariana Qubein Arena","Away","19:00","Charleston Southern"
"4521",2023-02-09,"ESPN+","USC Upstate","G.B. Hodge Center","Away","19:00","Charleston Southern"
"4522",2023-02-11,"ESPN+","Radford","Buccaneer Fieldhouse","Home","17:30","Charleston Southern"
"4523",2023-02-16,"ESPN+","Campbell","John W. Pope Jr. Convocation Center","Away","19:00","Charleston Southern"
"4524",2023-02-18,"ESPN+","Winthrop","Buccaneer Fieldhouse","Home","17:30","Charleston Southern"
"4525",2023-02-23,"ESPN+","UNC Asheville","Kimmel Arena","Away","19:00","Charleston Southern"
"4526",2023-02-25,"ESPN+","Presbyterian","Buccaneer Fieldhouse","Home","17:30","Charleston Southern"
"4527",2022-11-08,NA,"College of Charleston","TD Arena","Away","19:30","Chattanooga"
"4528",2022-11-11,"ESPN+","Oakland City","McKenzie Arena","Home","19:00","Chattanooga"
"4529",2022-11-16,"ESPN+","Mississippi","The Sandy and John Black Pavilion at Ole Miss","Away","19:30","Chattanooga"
"4530",2022-11-16,"SECN+","Mississippi","The Sandy and John Black Pavilion at Ole Miss","Away","19:30","Chattanooga"
"4531",2022-11-19,"ESPN+","Covenant College","McKenzie Arena","Home","14:00","Chattanooga"
"4532",2022-11-23,"ESPN+","Lipscomb","McKenzie Arena","Home","16:00","Chattanooga"
"4533",2022-11-27,"ESPN+","Murray St.","McKenzie Arena","Home","19:00","Chattanooga"
"4534",2022-12-01,"ESPN+","Tennessee Tech","Hooper Eblen Center","Away","19:00","Chattanooga"
"4535",2022-12-03,"ESPN+","Gardner Webb","Paul Porter Arena","Away","14:00","Chattanooga"
"4536",2022-12-07,"ESPN+","Milwaukee","McKenzie Arena","Home","19:00","Chattanooga"
"4537",2022-12-10,NA,"Johnson University (TN)","McKenzie Arena","Home","12:00","Chattanooga"
"4538",2022-12-16,"ESPN+","Middle Tennessee","Murphy Center","Away","19:00","Chattanooga"
"4539",2022-12-18,"ESPN+","Belmont","McKenzie Arena","Home","14:00","Chattanooga"
"4540",2022-12-21,"ESPN+","Georgia","Stegeman Coliseum","Away","15:00","Chattanooga"
"4541",2022-12-21,"SECN+","Georgia","Stegeman Coliseum","Away","15:00","Chattanooga"
"4542",2022-12-30,"ESPN+","The Citadel","McAlister Field House","Away","19:00","Chattanooga"
"4543",2022-12-31,"ESPN+","Mercer","Hawkins Arena","Away","14:00","Chattanooga"
"4544",2023-01-05,"ESPN+","UNC Greensboro","Novant Health Fieldhouse","Away","19:00","Chattanooga"
"4545",2023-01-07,"ESPN+","VMI","McKenzie Arena","Home","14:00","Chattanooga"
"4546",2023-01-12,"ESPN+","Western Carolina","McKenzie Arena","Home","19:00","Chattanooga"
"4547",2023-01-14,"ESPNU","Samford","Pete Hanna Center","Away","18:00","Chattanooga"
"4548",2023-01-19,"ESPN+","Furman","McKenzie Arena","Home","19:00","Chattanooga"
"4549",2023-01-22,"ESPN+","East Tennessee St.","McKenzie Arena","Home","19:00","Chattanooga"
"4550",2023-01-26,"ESPN+","Wofford","McKenzie Arena","Home","19:00","Chattanooga"
"4551",2023-01-28,"ESPN+","East Tennessee St.","Freedom Hall Civic Center","Away","16:00","Chattanooga"
"4552",2023-02-02,"ESPN+","Furman","Timmons Arena","Away","19:00","Chattanooga"
"4553",2023-02-04,"ESPN+","Western Carolina","Ramsey Regional Activity Center","Away","14:00","Chattanooga"
"4554",2023-02-09,"ESPN+","The Citadel","McKenzie Arena","Home","19:00","Chattanooga"
"4555",2023-02-11,NA,"Mercer","McKenzie Arena","Home","15:30","Chattanooga"
"4556",2023-02-16,"ESPN+","VMI","Cameron Hall","Away","19:00","Chattanooga"
"4557",2023-02-18,NA,"UNC Greensboro","McKenzie Arena","Home","12:00","Chattanooga"
"4558",2023-02-23,"ESPN+","Samford","McKenzie Arena","Home","19:00","Chattanooga"
"4559",2023-02-26,"ESPN+","Wofford","Jerry Richardson Indoor Stadium","Away","19:00","Chattanooga"
"4560",2022-11-08,"ESPN+","Buffalo","Alumni Arena","Away","19:00","Colgate"
"4561",2022-11-11,"ESPN+","Brown","Pizzitola Sports Center","Away","19:00","Colgate"
"4562",2022-11-13,NA,"Wells College","Cotterell Court","Home","14:00","Colgate"
"4563",2022-11-16,"ACCNX","Syracuse","JMA Wireless Dome","Away","19:00","Colgate"
"4564",2022-11-18,NA,"Duquesne","LeBron James Arena","Neutral","18:00","Colgate"
"4565",2022-11-22,"ESPN+","Monmouth","Cotterell Court","Home","19:00","Colgate"
"4566",2022-11-25,NA,"Delaware","The Palestra","Neutral","14:00","Colgate"
"4567",2022-11-26,"ESPN+","Penn","The Palestra","Away","16:30","Colgate"
"4568",2022-11-27,NA,"Hartford","The Palestra","Neutral","14:00","Colgate"
"4569",2022-12-03,"ESPN+","Auburn","Neville Arena","Away","20:00","Colgate"
"4570",2022-12-03,"SECN+","Auburn","Neville Arena","Away","20:00","Colgate"
"4571",2022-12-08,"ESPN+","Binghamton","Events Center (Binghamton)","Away","19:30","Colgate"
"4572",2022-12-10,NA,"Vermont","Cotterell Court","Home","12:00","Colgate"
"4573",2022-12-22,NA,"Cornell","Cotterell Court","Home","14:00","Colgate"
"4574",2022-12-31,NA,"Loyola Maryland","Reitz Arena","Away","19:00","Colgate"
"4575",2023-01-03,NA,"Lehigh","Stabler Arena","Away","19:00","Colgate"
"4576",2023-01-06,NA,"Navy","Cotterell Court","Home","19:00","Colgate"
"4577",2023-01-10,NA,"Army","Christl Arena","Away","19:00","Colgate"
"4578",2023-01-12,NA,"Boston University","Cotterell Court","Home","19:00","Colgate"
"4579",2023-01-14,NA,"Bucknell","Cotterell Court","Home","14:00","Colgate"
"4580",2023-01-18,NA,"Holy Cross","Hart Center","Away","00:00","Colgate"
"4581",2023-01-21,NA,"American","Cotterell Court","Home","14:00","Colgate"
"4582",2023-01-24,NA,"Boston University","Case Gym","Away","19:00","Colgate"
"4583",2023-01-28,NA,"Lafayette","Cotterell Court","Home","14:00","Colgate"
"4584",2023-01-31,NA,"Loyola Maryland","Cotterell Court","Home","19:00","Colgate"
"4585",2023-02-04,NA,"American","Bender Arena","Away","16:00","Colgate"
"4586",2023-02-09,NA,"Lehigh","Cotterell Court","Home","19:00","Colgate"
"4587",2023-02-11,NA,"Bucknell","Sojka Pavilion","Away","12:00","Colgate"
"4588",2023-02-16,NA,"Army","Cotterell Court","Home","19:00","Colgate"
"4589",2023-02-18,NA,"Holy Cross","Cotterell Court","Home","14:00","Colgate"
"4590",2023-02-23,NA,"Lafayette","Kirby Sports Center","Away","19:00","Colgate"
"4591",2023-02-25,NA,"Navy","Alumni Hall (Navy)","Away","16:00","Colgate"
"4592",2022-11-08,NA,"Rutgers","Jersey Mike’s Arena","Away","19:00","Columbia"
