"","date","tv","opponent","arena","location","time","team"
"81",2023-01-21,"SECN","Missouri","Mizzou Arena","Away","18:00","Alabama"
"82",2023-01-26,"SECN","Mississippi St.","Coleman Coliseum","Home","21:00","Alabama"
"83",2023-01-28,NA,"Oklahoma","Lloyd Noble Center","Away","14:00","Alabama"
"84",2023-02-01,"SECN","Vanderbilt","Coleman Coliseum","Home","20:30","Alabama"
"85",2023-02-04,NA,"LSU","Pete Maravich Assembly Center","Away","16:00","Alabama"
"86",2023-02-09,NA,"Florida","Coleman Coliseum","Home","21:00","Alabama"
"87",2023-02-11,NA,"Auburn","Neville Arena","Away","14:00","Alabama"
"88",2023-02-16,NA,"Tennessee","Thompson-Boling Arena","Away","19:00","Alabama"
"89",2023-02-18,"SECN","Georgia","Coleman Coliseum","Home","18:00","Alabama"
"90",2023-02-23,NA,"South Carolina","Colonial Life Arena","Away","21:00","Alabama"
"91",2023-02-25,NA,"Arkansas","Coleman Coliseum","Home","00:00","Alabama"
"92",2023-03-02,NA,"Auburn","Coleman Coliseum","Home","19:00","Alabama"
"93",2023-03-04,NA,"Texas A&M","Reed Arena","Away","12:00","Alabama"
"94",2022-11-07,"ESPN+","Warren Wilson","Holmes Convocation Center","Home","18:30","Appalachian St."
"95",2022-11-10,"ESPN+","North Carolina Central","Holmes Convocation Center","Home","18:30","Appalachian St."
"96",2022-11-15,"ACCN","Louisville","KFC Yum! Center","Away","18:00","Appalachian St."
"97",2022-11-19,"ESPN+","Campbell","Holmes Convocation Center","Home","19:00","Appalachian St."
"98",2022-11-20,"ESPN+","Kennesaw St.","Holmes Convocation Center","Home","19:00","Appalachian St."
"99",2022-11-20,"ESPN+","Southeastern Louisiana","Holmes Convocation Center","Home","14:30","Appalachian St."
"100",2022-11-24,"ESPN+","East Tennessee St.","Freedom Hall Civic Center","Away","19:00","Appalachian St."
"101",2022-11-29,"ESPN+","Furman","Holmes Convocation Center","Home","18:30","Appalachian St."
"102",2022-12-03,"ESPN+","Charlotte","Dale F. Halton Arena","Away","19:00","Appalachian St."
"103",2022-12-06,"ESPN+","Carlow University","Holmes Convocation Center","Home","18:30","Appalachian St."
"104",2022-12-15,"ACCN","Wake Forest","Lawrence Joel Veterans Memorial Coliseum","Away","19:00","Appalachian St."
"105",2022-12-17,"ESPN+","Regent University","Holmes Convocation Center","Home","16:00","Appalachian St."
"106",2022-12-21,"ESPN+","UC Santa Barbara","Footprint Center","Neutral","18:00","Appalachian St."
"107",2022-12-30,"ESPN+","Marshall","Cam Henderson Center","Away","19:00","Appalachian St."
"108",2022-12-31,"ESPN+","Southern Miss","Reed Green Coliseum","Away","15:00","Appalachian St."
"109",2023-01-05,"ESPN+","Coastal Carolina","Holmes Convocation Center","Home","18:30","Appalachian St."
"110",2023-01-07,"ESPN+","James Madison","Atlantic Union Bank Center","Away","16:00","Appalachian St."
"111",2023-01-12,"ESPN+","Georgia Southern","Holmes Convocation Center","Home","18:30","Appalachian St."
"112",2023-01-14,"ESPN+","Troy","Holmes Convocation Center","Home","16:00","Appalachian St."
"113",2023-01-20,"ESPN+","Coastal Carolina","The HTC Center","Away","19:00","Appalachian St."
"114",2023-01-22,"ESPN+","Old Dominion","Chartway Arena","Away","19:00","Appalachian St."
"115",2023-01-26,"ESPN+","Georgia St.","Holmes Convocation Center","Home","18:30","Appalachian St."
"116",2023-01-28,"ESPN+","Arkansas St.","Holmes Convocation Center","Home","16:30","Appalachian St."
"117",2023-02-02,"ESPN+","Marshall","Holmes Convocation Center","Home","18:30","Appalachian St."
"118",2023-02-04,"ESPN+","James Madison","Holmes Convocation Center","Home","16:00","Appalachian St."
"119",2023-02-10,"ESPN+","Louisiana Monroe","Fant-Ewing Coliseum","Away","19:30","Appalachian St."
"120",2023-02-11,"ESPN+","South Alabama","Mitchell Center","Away","18:00","Appalachian St."
"121",2023-02-16,"ESPN+","Texas St.","Holmes Convocation Center","Home","18:30","Appalachian St."
"122",2023-02-18,"ESPN+","Old Dominion","Holmes Convocation Center","Home","16:00","Appalachian St."
"123",2023-02-23,"ESPN+","Georgia St.","GSU Convocation Center","Away","19:00","Appalachian St."
"124",2023-02-25,"ESPN+","Georgia Southern","W.S. Hanner Fieldhouse","Away","19:00","Appalachian St."
"125",2022-11-08,"PAC12","Nicholls St.","McKale Center","Home","21:30","Arizona"
"126",2022-11-12,"PAC12","Southern","McKale Center","Home","21:00","Arizona"
"127",2022-11-18,NA,"Utah Tech","McKale Center","Home","21:00","Arizona"
"128",2022-11-22,"ESPN2","Cincinnati","Lahaina Civic Center","Neutral","23:30","Arizona"
"129",2022-12-02,NA,"Utah","Jon M. Huntsman Center","Away","20:30","Arizona"
"130",2022-12-04,NA,"California","McKale Center","Home","17:00","Arizona"
"131",2022-12-11,NA,"Indiana","MGM Grand Garden Arena","Neutral","19:30","Arizona"
"132",2022-12-14,NA,"Texas A&M-Corpus Christi","McKale Center","Home","20:30","Arizona"
"133",2022-12-18,"ESPN2","Tennessee","McKale Center","Home","22:30","Arizona"
"134",2022-12-21,NA,"Montana St.","McKale Center","Home","20:30","Arizona"
"135",2022-12-23,NA,"Morgan St.","McKale Center","Home","20:00","Arizona"
"136",2022-12-31,NA,"Arizona St.","Desert Financial Arena","Away","14:00","Arizona"
"137",2023-01-06,NA,"Washington","McKale Center","Home","23:00","Arizona"
"138",2023-01-07,NA,"Washington St.","McKale Center","Home","17:00","Arizona"
"139",2023-01-13,"ESPN2","Oregon St.","Gill Coliseum","Away","23:00","Arizona"
"140",2023-01-14,NA,"Oregon","Matthew Knight Arena","Away","18:00","Arizona"
"141",2023-01-20,NA,"USC","McKale Center","Home","21:00","Arizona"
"142",2023-01-21,"ABC","UCLA","McKale Center","Home","14:00","Arizona"
"143",2023-01-27,NA,"Washington St.","Friel Court at Beasley Coliseum","Away","23:00","Arizona"
"144",2023-01-28,NA,"Washington","Alaska Airlines Arena","Away","17:30","Arizona"
"145",2023-02-03,"ESPN","Oregon","McKale Center","Home","22:30","Arizona"
"146",2023-02-05,NA,"Oregon St.","McKale Center","Home","21:30","Arizona"
"147",2023-02-10,NA,"California","Haas Pavilion","Away","23:00","Arizona"
"148",2023-02-11,NA,"Stanford","Maples Pavilion","Away","00:00","Arizona"
"149",2023-02-17,NA,"Utah","McKale Center","Home","22:00","Arizona"
"150",2023-02-18,NA,"Colorado","McKale Center","Home","00:00","Arizona"
"151",2023-02-25,NA,"Arizona St.","McKale Center","Home","14:00","Arizona"
"152",2023-03-02,NA,"USC","Galen Center","Away","00:00","Arizona"
"153",2023-03-05,"ESPN","UCLA","Pauley Pavilion","Away","22:00","Arizona"
"154",2022-11-08,NA,"Tarleton St.","Desert Financial Arena","Home","19:00","Arizona St."
"155",2022-11-11,NA,"Northern Arizona","Desert Financial Arena","Home","21:00","Arizona St."
"156",2022-11-13,"ESPN+","Texas Southern","H&PE Arena","Away","15:00","Arizona St."
"157",2022-11-17,"ESPN+","VCU","Barclays Center","Neutral","20:30","Arizona St."
"158",2022-11-23,NA,"Grambling St.","Desert Financial Arena","Home","21:00","Arizona St."
"159",2022-11-27,NA,"Alcorn St.","Desert Financial Arena","Home","17:00","Arizona St."
"160",2022-12-02,NA,"Colorado","CU Events Center","Away","20:30","Arizona St."
"161",2022-12-05,"ESPN2","Stanford","Desert Financial Arena","Home","19:00","Arizona St."
"162",2022-12-08,"ESPNU","SMU","Moody Coliseum","Away","21:00","Arizona St."
"163",2022-12-13,NA,"Creighton","Michelob ULTRA Arena","Neutral","21:00","Arizona St."
"164",2022-12-19,NA,"San Diego","Desert Financial Arena","Home","19:00","Arizona St."
"165",2022-12-22,NA,"San Francisco","War Memorial at the Sobrato Center","Away","22:00","Arizona St."
"166",2022-12-31,NA,"Arizona","Desert Financial Arena","Home","14:00","Arizona St."
"167",2023-01-06,NA,"Washington St.","Desert Financial Arena","Home","20:00","Arizona St."
"168",2023-01-08,"ESPN2","Washington","Desert Financial Arena","Home","17:00","Arizona St."
"169",2023-01-13,NA,"Oregon","Matthew Knight Arena","Away","21:00","Arizona St."
"170",2023-01-14,NA,"Oregon St.","Gill Coliseum","Away","16:00","Arizona St."
"171",2023-01-20,NA,"UCLA","Desert Financial Arena","Home","22:30","Arizona St."
"172",2023-01-22,"ESPNU","USC","Desert Financial Arena","Home","22:00","Arizona St."
"173",2023-01-27,"ESPNU","Washington","Alaska Airlines Arena","Away","23:00","Arizona St."
"174",2023-01-29,"ESPNU","Washington St.","Friel Court at Beasley Coliseum","Away","20:00","Arizona St."
"175",2023-02-03,NA,"Oregon St.","Desert Financial Arena","Home","20:00","Arizona St."
"176",2023-02-04,NA,"Oregon","Desert Financial Arena","Home","00:00","Arizona St."
"177",2023-02-10,NA,"Stanford","Maples Pavilion","Away","22:00","Arizona St."
"178",2023-02-12,NA,"California","Haas Pavilion","Away","20:00","Arizona St."
"179",2023-02-17,NA,"Colorado","Desert Financial Arena","Home","20:00","Arizona St."
"180",2023-02-18,NA,"Utah","Desert Financial Arena","Home","18:00","Arizona St."
"181",2023-02-25,NA,"Arizona","McKale Center","Away","14:00","Arizona St."
"182",2023-03-02,NA,"UCLA","Pauley Pavilion","Away","00:00","Arizona St."
"183",2023-03-05,NA,"USC","Galen Center","Away","23:00","Arizona St."
"184",2022-11-08,"ESPN+","North Dakota St.","Bud Walton Arena","Home","20:00","Arkansas"
"185",2022-11-08,"SECN+","North Dakota St.","Bud Walton Arena","Home","20:00","Arkansas"
"186",2022-11-12,"ESPN+","Fordham","Bud Walton Arena","Home","20:00","Arkansas"
"187",2022-11-12,"SECN+","Fordham","Bud Walton Arena","Home","20:00","Arkansas"
"188",2022-11-17,"ESPN+","South Dakota St.","Bud Walton Arena","Home","20:00","Arkansas"
"189",2022-11-17,"SECN+","South Dakota St.","Bud Walton Arena","Home","20:00","Arkansas"
"190",2022-11-21,"ESPN2","Louisville","Lahaina Civic Center","Neutral","17:00","Arkansas"
"191",2022-11-29,"SECN","Troy","Bud Walton Arena","Home","20:00","Arkansas"
"192",2022-12-03,"SECN","San Jose St.","Bud Walton Arena","Home","16:00","Arkansas"
"193",2022-12-07,"SECN","UNC Greensboro","Bud Walton Arena","Home","19:00","Arkansas"
"194",2022-12-10,"ESPN2","Oklahoma","BOK Center","Neutral","13:00","Arkansas"
"195",2022-12-17,NA,"Bradley","Simmons Bank Arena","Neutral","16:00","Arkansas"
"196",2022-12-22,"SECN","UNC Asheville","Bud Walton Arena","Home","21:00","Arkansas"
"197",2022-12-29,NA,"LSU","Pete Maravich Assembly Center","Away","21:00","Arkansas"
"198",2023-01-05,"SECN","Missouri","Bud Walton Arena","Home","20:30","Arkansas"
"199",2023-01-08,"SECN","Auburn","Neville Arena","Away","20:30","Arkansas"
"200",2023-01-12,NA,"Alabama","Bud Walton Arena","Home","19:00","Arkansas"
"201",2023-01-14,NA,"Vanderbilt","Memorial Gymnasium (TN)","Away","14:00","Arkansas"
"202",2023-01-19,"SECN","Missouri","Mizzou Arena","Away","21:00","Arkansas"
"203",2023-01-21,"ESPN2","Mississippi","Bud Walton Arena","Home","12:00","Arkansas"
"204",2023-01-25,NA,"LSU","Bud Walton Arena","Home","19:00","Arkansas"
"205",2023-01-28,"ESPN","Baylor","Ferrell Center","Away","00:00","Arkansas"
"206",2023-02-01,NA,"Texas A&M","Bud Walton Arena","Home","19:00","Arkansas"
"207",2023-02-04,"SECN","South Carolina","Colonial Life Arena","Away","15:30","Arkansas"
"208",2023-02-08,NA,"Kentucky","Rupp Arena","Away","21:00","Arkansas"
"209",2023-02-11,NA,"Mississippi St.","Bud Walton Arena","Home","18:00","Arkansas"
"210",2023-02-16,NA,"Texas A&M","Reed Arena","Away","21:00","Arkansas"
"211",2023-02-18,NA,"Florida","Bud Walton Arena","Home","14:00","Arkansas"
"212",2023-02-22,"SECN","Georgia","Bud Walton Arena","Home","21:00","Arkansas"
"213",2023-02-25,NA,"Alabama","Coleman Coliseum","Away","00:00","Arkansas"
"214",2023-03-01,NA,"Tennessee","Thompson-Boling Arena","Away","21:00","Arkansas"
"215",2023-03-04,NA,"Kentucky","Bud Walton Arena","Home","14:00","Arkansas"
"216",2022-11-08,"ESPN+","Harding","First National Bank Arena","Home","20:00","Arkansas St."
"217",2022-11-12,"ESPN+","LSU","Pete Maravich Assembly Center","Away","18:00","Arkansas St."
"218",2022-11-12,"SECN+","LSU","Pete Maravich Assembly Center","Away","18:00","Arkansas St."
"219",2022-11-15,"ESPN+","Lyon","First National Bank Arena","Home","20:00","Arkansas St."
"220",2022-11-19,"ESPN+","UC Davis","University Credit Union Center","Away","21:00","Arkansas St."
"221",2022-11-22,"ESPN+","Tennessee Martin","First National Bank Arena","Home","18:00","Arkansas St."
"222",2022-11-26,"ESPN+","Prairie View A&M","First National Bank Arena","Home","20:00","Arkansas St."
"223",2022-11-27,"ESPN+","Bethel College (TN)","First National Bank Arena","Home","15:00","Arkansas St."
"224",2022-12-02,"ESPN+","Mississippi Valley St.","First National Bank Arena","Home","20:00","Arkansas St."
"225",2022-12-07,"ESPN+","Central Arkansas","Farris Center","Away","20:00","Arkansas St."
"226",2022-12-10,NA,"Air Force","Clune Arena","Away","21:00","Arkansas St."
"227",2022-12-15,"ESPN+","Southeast Missouri St.","First National Bank Arena","Home","20:00","Arkansas St."
"228",2022-12-20,"ESPN+","Alabama St.","First National Bank Arena","Home","20:00","Arkansas St."
"229",2022-12-22,"ESPN+","Little Rock","First National Bank Arena","Home","15:00","Arkansas St."
"230",2022-12-30,"ESPN+","Old Dominion","Chartway Arena","Away","19:00","Arkansas St."
"231",2022-12-31,"ESPN+","Louisiana Monroe","First National Bank Arena","Home","15:00","Arkansas St."
"232",2023-01-06,"ESPN+","South Alabama","Mitchell Center","Away","20:00","Arkansas St."
"233",2023-01-07,"ESPN+","Troy","Trojan Arena","Away","17:00","Arkansas St."
"234",2023-01-13,"ESPN+","Texas St.","First National Bank Arena","Home","20:00","Arkansas St."
"235",2023-01-14,"ESPN+","Southern Miss","First National Bank Arena","Home","15:00","Arkansas St."
"236",2023-01-20,"ESPN+","Louisiana Lafayette","First National Bank Arena","Home","20:00","Arkansas St."
"237",2023-01-21,"ESPN+","Marshall","First National Bank Arena","Home","15:00","Arkansas St."
"238",2023-01-27,"ESPN+","Southern Miss","Reed Green Coliseum","Away","20:00","Arkansas St."
"239",2023-01-28,"ESPN+","Appalachian St.","Holmes Convocation Center","Away","16:30","Arkansas St."
"240",2023-02-03,"ESPN+","South Alabama","First National Bank Arena","Home","20:00","Arkansas St."
"241",2023-02-04,"ESPN+","Coastal Carolina","First National Bank Arena","Home","15:00","Arkansas St."
"242",2023-02-10,"ESPN+","Texas St.","Strahan Arena at the University Events Center","Away","20:00","Arkansas St."
"243",2023-02-11,"ESPN+","Georgia Southern","W.S. Hanner Fieldhouse","Away","15:00","Arkansas St."
"244",2023-02-17,"ESPN+","Troy","First National Bank Arena","Home","20:30","Arkansas St."
"245",2023-02-18,"ESPN+","Georgia St.","First National Bank Arena","Home","15:00","Arkansas St."
"246",2023-02-23,"ESPN+","Louisiana Lafayette","Cajundome","Away","20:00","Arkansas St."
"247",2023-02-25,"ESPN+","Louisiana Monroe","Fant-Ewing Coliseum","Away","19:30","Arkansas St."
